pkmn_id|name|stat|effort|transformar_datetime
26|hp|60|0|2024-08-17 12:10:02.328438
26|attack|90|0|2024-08-17 12:10:02.328438
26|defense|55|0|2024-08-17 12:10:02.328438
26|special-attack|90|0|2024-08-17 12:10:02.328438
26|special-defense|80|0|2024-08-17 12:10:02.328438
26|speed|110|3|2024-08-17 12:10:02.328438
27|hp|50|0|2024-08-17 12:10:02.328438
27|attack|75|0|2024-08-17 12:10:02.328438
27|defense|85|1|2024-08-17 12:10:02.328438
27|special-attack|20|0|2024-08-17 12:10:02.328438
27|special-defense|30|0|2024-08-17 12:10:02.328438
27|speed|40|0|2024-08-17 12:10:02.328438
28|hp|75|0|2024-08-17 12:10:02.328438
28|attack|100|0|2024-08-17 12:10:02.328438
28|defense|110|2|2024-08-17 12:10:02.328438
28|special-attack|45|0|2024-08-17 12:10:02.328438
28|special-defense|55|0|2024-08-17 12:10:02.328438
28|speed|65|0|2024-08-17 12:10:02.328438
29|hp|55|1|2024-08-17 12:10:02.328438
29|attack|47|0|2024-08-17 12:10:02.328438
29|defense|52|0|2024-08-17 12:10:02.328438
29|special-attack|40|0|2024-08-17 12:10:02.328438
29|special-defense|40|0|2024-08-17 12:10:02.328438
29|speed|41|0|2024-08-17 12:10:02.328438
30|hp|70|2|2024-08-17 12:10:02.328438
30|attack|62|0|2024-08-17 12:10:02.328438
30|defense|67|0|2024-08-17 12:10:02.328438
30|special-attack|55|0|2024-08-17 12:10:02.328438
30|special-defense|55|0|2024-08-17 12:10:02.328438
30|speed|56|0|2024-08-17 12:10:02.328438
31|hp|90|3|2024-08-17 12:10:02.328438
31|attack|92|0|2024-08-17 12:10:02.328438
31|defense|87|0|2024-08-17 12:10:02.328438
31|special-attack|75|0|2024-08-17 12:10:02.328438
31|special-defense|85|0|2024-08-17 12:10:02.328438
31|speed|76|0|2024-08-17 12:10:02.328438
32|hp|46|0|2024-08-17 12:10:02.328438
32|attack|57|1|2024-08-17 12:10:02.328438
32|defense|40|0|2024-08-17 12:10:02.328438
32|special-attack|40|0|2024-08-17 12:10:02.328438
32|special-defense|40|0|2024-08-17 12:10:02.328438
32|speed|50|0|2024-08-17 12:10:02.328438
33|hp|61|0|2024-08-17 12:10:02.328438
33|attack|72|2|2024-08-17 12:10:02.328438
33|defense|57|0|2024-08-17 12:10:02.328438
33|special-attack|55|0|2024-08-17 12:10:02.328438
33|special-defense|55|0|2024-08-17 12:10:02.328438
33|speed|65|0|2024-08-17 12:10:02.328438
34|hp|81|0|2024-08-17 12:10:02.328438
34|attack|102|3|2024-08-17 12:10:02.328438
34|defense|77|0|2024-08-17 12:10:02.328438
34|special-attack|85|0|2024-08-17 12:10:02.328438
34|special-defense|75|0|2024-08-17 12:10:02.328438
34|speed|85|0|2024-08-17 12:10:02.328438
35|hp|70|2|2024-08-17 12:10:02.328438
35|attack|45|0|2024-08-17 12:10:02.328438
35|defense|48|0|2024-08-17 12:10:02.328438
35|special-attack|60|0|2024-08-17 12:10:02.328438
35|special-defense|65|0|2024-08-17 12:10:02.328438
35|speed|35|0|2024-08-17 12:10:02.328438
36|hp|95|3|2024-08-17 12:10:02.328438
36|attack|70|0|2024-08-17 12:10:02.328438
36|defense|73|0|2024-08-17 12:10:02.328438
36|special-attack|95|0|2024-08-17 12:10:02.328438
36|special-defense|90|0|2024-08-17 12:10:02.328438
36|speed|60|0|2024-08-17 12:10:02.328438
37|hp|38|0|2024-08-17 12:10:02.328438
37|attack|41|0|2024-08-17 12:10:02.328438
37|defense|40|0|2024-08-17 12:10:02.328438
37|special-attack|50|0|2024-08-17 12:10:02.328438
37|special-defense|65|0|2024-08-17 12:10:02.328438
37|speed|65|1|2024-08-17 12:10:02.328438
38|hp|73|0|2024-08-17 12:10:02.328438
38|attack|76|0|2024-08-17 12:10:02.328438
38|defense|75|0|2024-08-17 12:10:02.328438
38|special-attack|81|0|2024-08-17 12:10:02.328438
38|special-defense|100|1|2024-08-17 12:10:02.328438
38|speed|100|1|2024-08-17 12:10:02.328438
39|hp|115|2|2024-08-17 12:10:02.328438
39|attack|45|0|2024-08-17 12:10:02.328438
39|defense|20|0|2024-08-17 12:10:02.328438
39|special-attack|45|0|2024-08-17 12:10:02.328438
39|special-defense|25|0|2024-08-17 12:10:02.328438
39|speed|20|0|2024-08-17 12:10:02.328438
40|hp|140|3|2024-08-17 12:10:02.328438
40|attack|70|0|2024-08-17 12:10:02.328438
40|defense|45|0|2024-08-17 12:10:02.328438
40|special-attack|85|0|2024-08-17 12:10:02.328438
40|special-defense|50|0|2024-08-17 12:10:02.328438
40|speed|45|0|2024-08-17 12:10:02.328438
41|hp|40|0|2024-08-17 12:10:02.328438
41|attack|45|0|2024-08-17 12:10:02.328438
41|defense|35|0|2024-08-17 12:10:02.328438
41|special-attack|30|0|2024-08-17 12:10:02.328438
41|special-defense|40|0|2024-08-17 12:10:02.328438
41|speed|55|1|2024-08-17 12:10:02.328438
42|hp|75|0|2024-08-17 12:10:02.328438
42|attack|80|0|2024-08-17 12:10:02.328438
42|defense|70|0|2024-08-17 12:10:02.328438
42|special-attack|65|0|2024-08-17 12:10:02.328438
42|special-defense|75|0|2024-08-17 12:10:02.328438
42|speed|90|2|2024-08-17 12:10:02.328438
43|hp|45|0|2024-08-17 12:10:02.328438
43|attack|50|0|2024-08-17 12:10:02.328438
43|defense|55|0|2024-08-17 12:10:02.328438
43|special-attack|75|1|2024-08-17 12:10:02.328438
43|special-defense|65|0|2024-08-17 12:10:02.328438
43|speed|30|0|2024-08-17 12:10:02.328438
44|hp|60|0|2024-08-17 12:10:02.328438
44|attack|65|0|2024-08-17 12:10:02.328438
44|defense|70|0|2024-08-17 12:10:02.328438
44|special-attack|85|2|2024-08-17 12:10:02.328438
44|special-defense|75|0|2024-08-17 12:10:02.328438
44|speed|40|0|2024-08-17 12:10:02.328438
45|hp|75|0|2024-08-17 12:10:02.328438
45|attack|80|0|2024-08-17 12:10:02.328438
45|defense|85|0|2024-08-17 12:10:02.328438
45|special-attack|110|3|2024-08-17 12:10:02.328438
45|special-defense|90|0|2024-08-17 12:10:02.328438
45|speed|50|0|2024-08-17 12:10:02.328438
46|hp|35|0|2024-08-17 12:10:02.328438
46|attack|70|1|2024-08-17 12:10:02.328438
46|defense|55|0|2024-08-17 12:10:02.328438
46|special-attack|45|0|2024-08-17 12:10:02.328438
46|special-defense|55|0|2024-08-17 12:10:02.328438
46|speed|25|0|2024-08-17 12:10:02.328438
47|hp|60|0|2024-08-17 12:10:02.328438
47|attack|95|2|2024-08-17 12:10:02.328438
47|defense|80|1|2024-08-17 12:10:02.328438
47|special-attack|60|0|2024-08-17 12:10:02.328438
47|special-defense|80|0|2024-08-17 12:10:02.328438
47|speed|30|0|2024-08-17 12:10:02.328438
48|hp|60|0|2024-08-17 12:10:02.328438
48|attack|55|0|2024-08-17 12:10:02.328438
48|defense|50|0|2024-08-17 12:10:02.328438
48|special-attack|40|0|2024-08-17 12:10:02.328438
48|special-defense|55|1|2024-08-17 12:10:02.328438
48|speed|45|0|2024-08-17 12:10:02.328438
49|hp|70|0|2024-08-17 12:10:02.328438
49|attack|65|0|2024-08-17 12:10:02.328438
49|defense|60|0|2024-08-17 12:10:02.328438
49|special-attack|90|1|2024-08-17 12:10:02.328438
49|special-defense|75|0|2024-08-17 12:10:02.328438
49|speed|90|1|2024-08-17 12:10:02.328438
50|hp|10|0|2024-08-17 12:10:02.328438
50|attack|55|0|2024-08-17 12:10:02.328438
50|defense|25|0|2024-08-17 12:10:02.328438
50|special-attack|35|0|2024-08-17 12:10:02.328438
50|special-defense|45|0|2024-08-17 12:10:02.328438
50|speed|95|1|2024-08-17 12:10:02.328438
51|hp|35|0|2024-08-17 12:10:02.328438
51|attack|100|0|2024-08-17 12:10:02.328438
51|defense|50|0|2024-08-17 12:10:02.328438
51|special-attack|50|0|2024-08-17 12:10:02.328438
51|special-defense|70|0|2024-08-17 12:10:02.328438
51|speed|120|2|2024-08-17 12:10:02.328438
52|hp|40|0|2024-08-17 12:10:02.328438
52|attack|45|0|2024-08-17 12:10:02.328438
52|defense|35|0|2024-08-17 12:10:02.328438
52|special-attack|40|0|2024-08-17 12:10:02.328438
52|special-defense|40|0|2024-08-17 12:10:02.328438
52|speed|90|1|2024-08-17 12:10:02.328438
53|hp|65|0|2024-08-17 12:10:02.328438
53|attack|70|0|2024-08-17 12:10:02.328438
53|defense|60|0|2024-08-17 12:10:02.328438
53|special-attack|65|0|2024-08-17 12:10:02.328438
53|special-defense|65|0|2024-08-17 12:10:02.328438
53|speed|115|2|2024-08-17 12:10:02.328438
54|hp|50|0|2024-08-17 12:10:02.328438
54|attack|52|0|2024-08-17 12:10:02.328438
54|defense|48|0|2024-08-17 12:10:02.328438
54|special-attack|65|1|2024-08-17 12:10:02.328438
54|special-defense|50|0|2024-08-17 12:10:02.328438
54|speed|55|0|2024-08-17 12:10:02.328438
55|hp|80|0|2024-08-17 12:10:02.328438
55|attack|82|0|2024-08-17 12:10:02.328438
55|defense|78|0|2024-08-17 12:10:02.328438
55|special-attack|95|2|2024-08-17 12:10:02.328438
55|special-defense|80|0|2024-08-17 12:10:02.328438
55|speed|85|0|2024-08-17 12:10:02.328438
56|hp|40|0|2024-08-17 12:10:02.328438
56|attack|80|1|2024-08-17 12:10:02.328438
56|defense|35|0|2024-08-17 12:10:02.328438
56|special-attack|35|0|2024-08-17 12:10:02.328438
56|special-defense|45|0|2024-08-17 12:10:02.328438
56|speed|70|0|2024-08-17 12:10:02.328438
57|hp|65|0|2024-08-17 12:10:02.328438
57|attack|105|2|2024-08-17 12:10:02.328438
57|defense|60|0|2024-08-17 12:10:02.328438
57|special-attack|60|0|2024-08-17 12:10:02.328438
57|special-defense|70|0|2024-08-17 12:10:02.328438
57|speed|95|0|2024-08-17 12:10:02.328438
58|hp|55|0|2024-08-17 12:10:02.328438
58|attack|70|1|2024-08-17 12:10:02.328438
58|defense|45|0|2024-08-17 12:10:02.328438
58|special-attack|70|0|2024-08-17 12:10:02.328438
58|special-defense|50|0|2024-08-17 12:10:02.328438
58|speed|60|0|2024-08-17 12:10:02.328438
59|hp|90|0|2024-08-17 12:10:02.328438
59|attack|110|2|2024-08-17 12:10:02.328438
59|defense|80|0|2024-08-17 12:10:02.328438
59|special-attack|100|0|2024-08-17 12:10:02.328438
59|special-defense|80|0|2024-08-17 12:10:02.328438
59|speed|95|0|2024-08-17 12:10:02.328438
60|hp|40|0|2024-08-17 12:10:02.328438
60|attack|50|0|2024-08-17 12:10:02.328438
60|defense|40|0|2024-08-17 12:10:02.328438
60|special-attack|40|0|2024-08-17 12:10:02.328438
60|special-defense|40|0|2024-08-17 12:10:02.328438
60|speed|90|1|2024-08-17 12:10:02.328438
61|hp|65|0|2024-08-17 12:10:02.328438
61|attack|65|0|2024-08-17 12:10:02.328438
61|defense|65|0|2024-08-17 12:10:02.328438
61|special-attack|50|0|2024-08-17 12:10:02.328438
61|special-defense|50|0|2024-08-17 12:10:02.328438
61|speed|90|2|2024-08-17 12:10:02.328438
62|hp|90|0|2024-08-17 12:10:02.328438
62|attack|95|0|2024-08-17 12:10:02.328438
62|defense|95|3|2024-08-17 12:10:02.328438
62|special-attack|70|0|2024-08-17 12:10:02.328438
62|special-defense|90|0|2024-08-17 12:10:02.328438
62|speed|70|0|2024-08-17 12:10:02.328438
63|hp|25|0|2024-08-17 12:10:02.328438
63|attack|20|0|2024-08-17 12:10:02.328438
63|defense|15|0|2024-08-17 12:10:02.328438
63|special-attack|105|1|2024-08-17 12:10:02.328438
63|special-defense|55|0|2024-08-17 12:10:02.328438
63|speed|90|0|2024-08-17 12:10:02.328438
64|hp|40|0|2024-08-17 12:10:02.328438
64|attack|35|0|2024-08-17 12:10:02.328438
64|defense|30|0|2024-08-17 12:10:02.328438
64|special-attack|120|2|2024-08-17 12:10:02.328438
64|special-defense|70|0|2024-08-17 12:10:02.328438
64|speed|105|0|2024-08-17 12:10:02.328438
65|hp|55|0|2024-08-17 12:10:02.328438
65|attack|50|0|2024-08-17 12:10:02.328438
65|defense|45|0|2024-08-17 12:10:02.328438
65|special-attack|135|3|2024-08-17 12:10:02.328438
65|special-defense|95|0|2024-08-17 12:10:02.328438
65|speed|120|0|2024-08-17 12:10:02.328438
66|hp|70|0|2024-08-17 12:10:02.328438
66|attack|80|1|2024-08-17 12:10:02.328438
66|defense|50|0|2024-08-17 12:10:02.328438
66|special-attack|35|0|2024-08-17 12:10:02.328438
66|special-defense|35|0|2024-08-17 12:10:02.328438
66|speed|35|0|2024-08-17 12:10:02.328438
67|hp|80|0|2024-08-17 12:10:02.328438
67|attack|100|2|2024-08-17 12:10:02.328438
67|defense|70|0|2024-08-17 12:10:02.328438
67|special-attack|50|0|2024-08-17 12:10:02.328438
67|special-defense|60|0|2024-08-17 12:10:02.328438
67|speed|45|0|2024-08-17 12:10:02.328438
68|hp|90|0|2024-08-17 12:10:02.328438
68|attack|130|3|2024-08-17 12:10:02.328438
68|defense|80|0|2024-08-17 12:10:02.328438
68|special-attack|65|0|2024-08-17 12:10:02.328438
68|special-defense|85|0|2024-08-17 12:10:02.328438
68|speed|55|0|2024-08-17 12:10:02.328438
69|hp|50|0|2024-08-17 12:10:02.328438
69|attack|75|1|2024-08-17 12:10:02.328438
69|defense|35|0|2024-08-17 12:10:02.328438
69|special-attack|70|0|2024-08-17 12:10:02.328438
69|special-defense|30|0|2024-08-17 12:10:02.328438
69|speed|40|0|2024-08-17 12:10:02.328438
70|hp|65|0|2024-08-17 12:10:02.328438
70|attack|90|2|2024-08-17 12:10:02.328438
70|defense|50|0|2024-08-17 12:10:02.328438
70|special-attack|85|0|2024-08-17 12:10:02.328438
70|special-defense|45|0|2024-08-17 12:10:02.328438
70|speed|55|0|2024-08-17 12:10:02.328438
71|hp|80|0|2024-08-17 12:10:02.328438
71|attack|105|3|2024-08-17 12:10:02.328438
71|defense|65|0|2024-08-17 12:10:02.328438
71|special-attack|100|0|2024-08-17 12:10:02.328438
71|special-defense|70|0|2024-08-17 12:10:02.328438
71|speed|70|0|2024-08-17 12:10:02.328438
72|hp|40|0|2024-08-17 12:10:02.328438
72|attack|40|0|2024-08-17 12:10:02.328438
72|defense|35|0|2024-08-17 12:10:02.328438
72|special-attack|50|0|2024-08-17 12:10:02.328438
72|special-defense|100|1|2024-08-17 12:10:02.328438
72|speed|70|0|2024-08-17 12:10:02.328438
73|hp|80|0|2024-08-17 12:10:02.328438
73|attack|70|0|2024-08-17 12:10:02.328438
73|defense|65|0|2024-08-17 12:10:02.328438
73|special-attack|80|0|2024-08-17 12:10:02.328438
73|special-defense|120|2|2024-08-17 12:10:02.328438
73|speed|100|0|2024-08-17 12:10:02.328438
74|hp|40|0|2024-08-17 12:10:02.328438
74|attack|80|0|2024-08-17 12:10:02.328438
74|defense|100|1|2024-08-17 12:10:02.328438
74|special-attack|30|0|2024-08-17 12:10:02.328438
74|special-defense|30|0|2024-08-17 12:10:02.328438
74|speed|20|0|2024-08-17 12:10:02.328438
75|hp|55|0|2024-08-17 12:10:02.328438
75|attack|95|0|2024-08-17 12:10:02.328438
75|defense|115|2|2024-08-17 12:10:02.328438
75|special-attack|45|0|2024-08-17 12:10:02.328438
75|special-defense|45|0|2024-08-17 12:10:02.328438
75|speed|35|0|2024-08-17 12:10:02.328438
76|hp|80|0|2024-08-17 12:10:02.328438
76|attack|120|0|2024-08-17 12:10:02.328438
76|defense|130|3|2024-08-17 12:10:02.328438
76|special-attack|55|0|2024-08-17 12:10:02.328438
76|special-defense|65|0|2024-08-17 12:10:02.328438
76|speed|45|0|2024-08-17 12:10:02.328438
77|hp|50|0|2024-08-17 12:10:02.328438
77|attack|85|0|2024-08-17 12:10:02.328438
77|defense|55|0|2024-08-17 12:10:02.328438
77|special-attack|65|0|2024-08-17 12:10:02.328438
77|special-defense|65|0|2024-08-17 12:10:02.328438
77|speed|90|1|2024-08-17 12:10:02.328438
78|hp|65|0|2024-08-17 12:10:02.328438
78|attack|100|0|2024-08-17 12:10:02.328438
78|defense|70|0|2024-08-17 12:10:02.328438
78|special-attack|80|0|2024-08-17 12:10:02.328438
78|special-defense|80|0|2024-08-17 12:10:02.328438
78|speed|105|2|2024-08-17 12:10:02.328438
79|hp|90|1|2024-08-17 12:10:02.328438
79|attack|65|0|2024-08-17 12:10:02.328438
79|defense|65|0|2024-08-17 12:10:02.328438
79|special-attack|40|0|2024-08-17 12:10:02.328438
79|special-defense|40|0|2024-08-17 12:10:02.328438
79|speed|15|0|2024-08-17 12:10:02.328438
80|hp|95|0|2024-08-17 12:10:02.328438
80|attack|75|0|2024-08-17 12:10:02.328438
80|defense|110|2|2024-08-17 12:10:02.328438
80|special-attack|100|0|2024-08-17 12:10:02.328438
80|special-defense|80|0|2024-08-17 12:10:02.328438
80|speed|30|0|2024-08-17 12:10:02.328438
81|hp|25|0|2024-08-17 12:10:02.328438
81|attack|35|0|2024-08-17 12:10:02.328438
81|defense|70|0|2024-08-17 12:10:02.328438
81|special-attack|95|1|2024-08-17 12:10:02.328438
81|special-defense|55|0|2024-08-17 12:10:02.328438
81|speed|45|0|2024-08-17 12:10:02.328438
82|hp|50|0|2024-08-17 12:10:02.328438
82|attack|60|0|2024-08-17 12:10:02.328438
82|defense|95|0|2024-08-17 12:10:02.328438
82|special-attack|120|2|2024-08-17 12:10:02.328438
82|special-defense|70|0|2024-08-17 12:10:02.328438
82|speed|70|0|2024-08-17 12:10:02.328438
83|hp|52|0|2024-08-17 12:10:02.328438
83|attack|90|1|2024-08-17 12:10:02.328438
83|defense|55|0|2024-08-17 12:10:02.328438
83|special-attack|58|0|2024-08-17 12:10:02.328438
83|special-defense|62|0|2024-08-17 12:10:02.328438
83|speed|60|0|2024-08-17 12:10:02.328438
84|hp|35|0|2024-08-17 12:10:02.328438
84|attack|85|1|2024-08-17 12:10:02.328438
84|defense|45|0|2024-08-17 12:10:02.328438
84|special-attack|35|0|2024-08-17 12:10:02.328438
84|special-defense|35|0|2024-08-17 12:10:02.328438
84|speed|75|0|2024-08-17 12:10:02.328438
85|hp|60|0|2024-08-17 12:10:02.328438
85|attack|110|2|2024-08-17 12:10:02.328438
85|defense|70|0|2024-08-17 12:10:02.328438
85|special-attack|60|0|2024-08-17 12:10:02.328438
85|special-defense|60|0|2024-08-17 12:10:02.328438
85|speed|110|0|2024-08-17 12:10:02.328438
86|hp|65|0|2024-08-17 12:10:02.328438
86|attack|45|0|2024-08-17 12:10:02.328438
86|defense|55|0|2024-08-17 12:10:02.328438
86|special-attack|45|0|2024-08-17 12:10:02.328438
86|special-defense|70|1|2024-08-17 12:10:02.328438
86|speed|45|0|2024-08-17 12:10:02.328438
87|hp|90|0|2024-08-17 12:10:02.328438
87|attack|70|0|2024-08-17 12:10:02.328438
87|defense|80|0|2024-08-17 12:10:02.328438
87|special-attack|70|0|2024-08-17 12:10:02.328438
87|special-defense|95|2|2024-08-17 12:10:02.328438
87|speed|70|0|2024-08-17 12:10:02.328438
88|hp|80|1|2024-08-17 12:10:02.328438
88|attack|80|0|2024-08-17 12:10:02.328438
88|defense|50|0|2024-08-17 12:10:02.328438
88|special-attack|40|0|2024-08-17 12:10:02.328438
88|special-defense|50|0|2024-08-17 12:10:02.328438
88|speed|25|0|2024-08-17 12:10:02.328438
89|hp|105|1|2024-08-17 12:10:02.328438
89|attack|105|1|2024-08-17 12:10:02.328438
89|defense|75|0|2024-08-17 12:10:02.328438
89|special-attack|65|0|2024-08-17 12:10:02.328438
89|special-defense|100|0|2024-08-17 12:10:02.328438
89|speed|50|0|2024-08-17 12:10:02.328438
90|hp|30|0|2024-08-17 12:10:02.328438
90|attack|65|0|2024-08-17 12:10:02.328438
90|defense|100|1|2024-08-17 12:10:02.328438
90|special-attack|45|0|2024-08-17 12:10:02.328438
90|special-defense|25|0|2024-08-17 12:10:02.328438
90|speed|40|0|2024-08-17 12:10:02.328438
91|hp|50|0|2024-08-17 12:10:02.328438
91|attack|95|0|2024-08-17 12:10:02.328438
91|defense|180|2|2024-08-17 12:10:02.328438
