ability_id|ability_name|ability_description|transformar_datetime
4|battle-armor|Hard armor protects the Pokémon from critical hits.|2024-08-04 13:58:08.956040
120|reckless|Powers up moves that have recoil damage.|2024-08-04 13:58:08.956040
84|unburden|Boosts the Speed stat if the Pokémon's held item is used or lost.|2024-08-04 13:58:08.956040
89|iron-fist|Powers up punching moves.|2024-08-04 13:58:08.956040
256|neutralizing-gas|While the Pokémon is in the battle, the effects of all other Pokémon's Abilities will be nullified or will not be triggered.|2024-08-04 13:58:08.956040
30|natural-cure|The Pokémon's status conditions are cured when it switches out.|2024-08-04 13:58:08.956040
32|serene-grace|Raises the likelihood of additional effects occurring when the Pokémon uses its moves.|2024-08-04 13:58:08.956040
131|healer|Sometimes cures the status conditions of the Pokémon's allies.|2024-08-04 13:58:08.956040
102|leaf-guard|Prevents status conditions in harsh sunlight.|2024-08-04 13:58:08.956040
113|scrappy|The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.|2024-08-04 13:58:08.956040
41|water-veil|The Pokémon's water veil prevents it from being burned.|2024-08-04 13:58:08.956040
35|illuminate|By illuminating its surroundings, the Pokémon prevents its accuracy from being lowered.|2024-08-04 13:58:08.956040
111|filter|Reduces the power of supereffective attacks that hit the Pokémon.|2024-08-04 13:58:08.956040
104|mold-breaker|The Pokémon's moves are unimpeded by the Ability of the target.|2024-08-04 13:58:08.956040
153|moxie|When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat.|2024-08-04 13:58:08.956040
155|rattled|The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat.|2024-08-04 13:58:08.956040
150|imposter|The Pokémon transforms itself into the Pokémon it's facing.|2024-08-04 13:58:08.956040
91|adaptability|Powers up moves of the same type as the Pokémon.|2024-08-04 13:58:08.956040
107|anticipation|The Pokémon can sense an opposing Pokémon's dangerous moves.|2024-08-04 13:58:08.956040
10|volt-absorb|If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:08.956040
95|quick-feet|Boosts the Speed stat if the Pokémon has a status condition.|2024-08-04 13:58:08.956040
36|trace|When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.|2024-08-04 13:58:08.956040
88|download|The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.|2024-08-04 13:58:08.956040
46|pressure|Puts other Pokémon under pressure, causing them to expend more PP to use their moves.|2024-08-04 13:58:08.956040
17|immunity|The Pokémon's immune system prevents it from being poisoned.|2024-08-04 13:58:08.956040
81|snow-cloak|Boosts the Pokémon's evasiveness in snow.|2024-08-04 13:58:08.956040
63|marvel-scale|The Pokémon's marvelous scales boost its Defense stat if it has a status condition.|2024-08-04 13:58:08.956040
136|multiscale|Reduces the amount of damage the Pokémon takes while its HP is full.|2024-08-04 13:58:08.956040
105|super-luck|The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.|2024-08-04 13:58:08.956040
156|magic-bounce|The Pokémon reflects status moves instead of getting hit by them.|2024-08-04 13:58:08.956040
57|plus|Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.|2024-08-04 13:58:08.956040
37|huge-power|Doubles the Pokémon's Attack stat.|2024-08-04 13:58:08.956040
157|sap-sipper|The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted.|2024-08-04 13:58:08.956040
2|drizzle|The Pokémon makes it rain when it enters a battle.|2024-08-04 13:58:08.956040
3|speed-boost|The Pokémon's Speed stat is boosted every turn.|2024-08-04 13:58:08.956040
158|prankster|Gives priority to the Pokémon's status moves.|2024-08-04 13:58:08.956040
23|shadow-tag|The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.|2024-08-04 13:58:08.956040
140|telepathy|The Pokémon anticipates and dodges the attacks of its allies.|2024-08-04 13:58:08.956040
135|light-metal|Halves the Pokémon's weight.|2024-08-04 13:58:08.956040
126|contrary|Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them—and attempts to lower its stats will boost them.|2024-08-04 13:58:08.956040
124|pickpocket|The Pokémon steals the held item from attackers that made direct contact with it.|2024-08-04 13:58:08.956040
118|honey-gather|The Pokémon may gather Honey after a battle.|2024-08-04 13:58:08.956040
40|magma-armor|The Pokémon’s hot magma coating prevents it from being frozen.|2024-08-04 13:58:08.956040
141|moody|Every turn, one of the Pokémon's stats will be boosted sharply but another stat will be lowered.|2024-08-04 13:58:08.956040
21|suction-cups|The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.|2024-08-04 13:58:08.956040
45|sand-stream|The Pokémon summons a sandstorm when it enters a battle.|2024-08-04 13:58:08.956040
274|wind-rider|Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.|2024-08-04 13:58:08.956040
90|poison-heal|If poisoned, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:08.956040
54|truant|Each time the Pokémon uses a move, it spends the next turn loafing around.|2024-08-04 13:58:08.956040
25|wonder-guard|"Its mysterious power only lets supereffective moves
hit the Pokémon."|2024-08-04 13:58:08.956040
96|normalize|"All the Pokémon’s moves become Normal type.
The power of those moves is boosted a little."|2024-08-04 13:58:08.956040
100|stall|The Pokémon is always the last to use its moves. |2024-08-04 13:58:08.956040
134|heavy-metal|Doubles the Pokémon's weight.|2024-08-04 13:58:08.956040
74|pure-power|Using its pure power, the Pokémon doubles its Attack stat.|2024-08-04 13:58:08.956040
58|minus|Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.|2024-08-04 13:58:08.956040
24|rough-skin|The Pokémon's rough skin damages attackers that make direct contact with it.|2024-08-04 13:58:08.956040
86|simple|Doubles the effects of the Pokémon's stat changes.|2024-08-04 13:58:08.956040
116|solid-rock|Reduces the power of supereffective attacks that hit the Pokémon.|2024-08-04 13:58:08.956040
73|white-smoke|The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.|2024-08-04 13:58:08.956040
137|toxic-boost|Powers up physical moves when the Pokémon is poisoned.|2024-08-04 13:58:08.956040
114|storm-drain|The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.|2024-08-04 13:58:08.956040
59|forecast|"The Pokémon transforms with the weather to change
its type to Water, Fire, or Ice."|2024-08-04 13:58:08.956040
16|color-change|"The Pokémon’s type becomes the type of the move
used on it."|2024-08-04 13:58:08.956040
168|protean|Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.|2024-08-04 13:58:08.956040
76|air-lock|Eliminates the effects of weather.|2024-08-04 13:58:08.956040
122|flower-gift|"Boosts the Attack and Sp. Def stats of itself
and allies in harsh sunlight."|2024-08-04 13:58:08.956040
138|flare-boost|Powers up special moves when the Pokémon is burned.|2024-08-04 13:58:08.956040
103|klutz|The Pokémon can't use any held items.|2024-08-04 13:58:08.956040
85|heatproof|The Pokémon's heatproof body halves the damage taken from Fire-type moves.|2024-08-04 13:58:08.956040
117|snow-warning|The Pokémon makes it snow when it enters a battle.|2024-08-04 13:58:08.956040
78|motor-drive|The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted.|2024-08-04 13:58:08.956040
292|sharpness|Powers up slicing moves.|2024-08-04 13:58:08.956040
112|slow-start|For five turns, the Pokémon's Attack and Speed stats are halved.|2024-08-04 13:58:08.956040
123|bad-dreams|Damages opposing Pokémon that are asleep.|2024-08-04 13:58:08.956040
121|multitype|Changes the Pokémon's type to match the plate it holds. |2024-08-04 13:58:08.956040
162|victory-star|Boosts the accuracy of its allies and itself.|2024-08-04 13:58:08.956040
161|zen-mode|"Changes the Pokémon’s shape when HP is half
or less."|2024-08-04 13:58:08.956040
152|mummy|"Contact with the Pokémon changes the attacker’s
Ability to Mummy."|2024-08-04 13:58:08.956040
129|defeatist|"Halves the Pokémon’s Attack and Sp. Atk stats
when its HP becomes half or less."|2024-08-04 13:58:08.956040
149|illusion|The Pokémon fools opponents by entering battle disguised as the last Pokémon in its Trainer's party.|2024-08-04 13:58:08.956040
160|iron-barbs|"Inflicts damage on the attacker upon contact with
iron barbs."|2024-08-04 13:58:08.956040
202|slush-rush|Boosts the Pokémon's Speed stat in snow.|2024-08-04 13:58:08.956040
163|turboblaze|The Pokémon's moves are unimpeded by the Ability of the target.|2024-08-04 13:58:08.956040
164|teravolt|The Pokémon's moves are unimpeded by the Ability of the target.|2024-08-04 13:58:08.956040
171|bulletproof|Protects the Pokémon from ball and bomb moves.|2024-08-04 13:58:08.956040
170|magician|The Pokémon steals the held item from any target it hits with a move.|2024-08-04 13:58:08.956040
167|cheek-pouch|The Pokémon's HP is restored when it eats any Berry, in addition to the Berry's usual effect.|2024-08-04 13:58:08.956040
177|gale-wings|Gives priority to the Pokémon's Flying-type moves while its HP is full.|2024-08-04 13:58:08.956040
166|flower-veil|Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.|2024-08-04 13:58:08.956040
180|symbiosis|The Pokémon passes its held item to an ally that has used up an item.|2024-08-04 13:58:08.956040
179|grass-pelt|Boosts the Pokémon's Defense stat on Grassy Terrain.|2024-08-04 13:58:08.956040
169|fur-coat|Halves the damage from physical moves.|2024-08-04 13:58:08.956040
176|stance-change|"The Pokémon changes its form to Blade Forme when
it uses an attack move and changes to Shield Forme
when it uses King’s Shield."|2024-08-04 13:58:08.956040
165|aroma-veil|Protects the Pokémon and its allies from effects that prevent the use of moves.|2024-08-04 13:58:08.956040
175|sweet-veil|Prevents the Pokémon and its allies from falling asleep.|2024-08-04 13:58:08.956040
181|tough-claws|Powers up moves that make direct contact.|2024-08-04 13:58:08.956040
178|mega-launcher|Powers up pulse moves.|2024-08-04 13:58:08.956040
173|strong-jaw|The Pokémon's strong jaw boosts the power of its biting moves.|2024-08-04 13:58:08.956040
174|refrigerate|"Normal-type moves become Ice-type moves.
The power of those moves is boosted a little."|2024-08-04 13:58:08.956040
182|pixilate|Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.|2024-08-04 13:58:08.956040
183|gooey|Contact with the Pokémon lowers the attacker's Speed stat.|2024-08-04 13:58:08.956040
187|fairy-aura|Powers up each Pokémon’s Fairy-type moves.|2024-08-04 13:58:08.956040
186|dark-aura|Powers up each Pokémon’s Dark-type moves.|2024-08-04 13:58:08.956040
188|aura-break|"The effects of “Aura” Abilities are reversed
to lower the power of affected moves."|2024-08-04 13:58:08.956040
203|long-reach|The Pokémon uses its moves without making contact with the target.|2024-08-04 13:58:08.956040
204|liquid-voice|Sound-based moves become Water-type moves.|2024-08-04 13:58:08.956040
198|stakeout|Doubles the damage dealt to a target that has just switched into battle.|2024-08-04 13:58:08.956040
217|battery|Powers up ally Pokémon's special moves.|2024-08-04 13:58:08.956040
216|dancer|Whenever a dance move is used in battle, the Pokémon will copy the user to immediately perform that dance move itself.|2024-08-04 13:58:08.956040
208|schooling|"When it has a lot of HP, the Pokémon forms a
powerful school. It stops schooling when its HP
is low."|2024-08-04 13:58:08.956040
196|merciless|The Pokémon's attacks become critical hits if the target is poisoned.|2024-08-04 13:58:08.956040
192|stamina|Boosts the Defense stat when the Pokémon is hit by an attack.|2024-08-04 13:58:08.956040
199|water-bubble|Lowers the power of Fire-type moves that hit the Pokémon and prevents it from being burned.|2024-08-04 13:58:08.956040
212|corrosion|The Pokémon can poison the target even if it's a Steel or Poison type.|2024-08-04 13:58:08.956040
218|fluffy|Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.|2024-08-04 13:58:08.956040
214|queenly-majesty|When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.|2024-08-04 13:58:08.956040
205|triage|Gives priority to the Pokémon's healing moves.|2024-08-04 13:58:08.956040
222|receiver|The Pokémon copies the Ability of a defeated ally.|2024-08-04 13:58:08.956040
193|wimp-out|"The Pokémon cowardly switches out when its HP
becomes half or less."|2024-08-04 13:58:08.956040
194|emergency-exit|"The Pokémon, sensing danger, switches out when its
HP becomes half or less."|2024-08-04 13:58:08.956040
195|water-compaction|Boosts the Defense stat sharply when the Pokémon is hit by a Water-type move.|2024-08-04 13:58:08.956040
215|innards-out|"Damages the attacker landing the finishing hit
by the amount equal to its last HP."|2024-08-04 13:58:08.956040
225|rks-system|"Changes the Pokémon’s type to match the
memory disc it holds."|2024-08-04 13:58:08.956040
197|shields-down|When its HP drops to half or less, the Pokémon's shell breaks and it becomes aggressive.|2024-08-04 13:58:08.956040
213|comatose|The Pokémon is always drowsing and will never wake up. It can attack while in its sleeping state.|2024-08-04 13:58:08.956040
209|disguise|Once per battle, the shroud that covers the Pokémon can protect it from an attack.|2024-08-04 13:58:08.956040
219|dazzling|The Pokémon dazzles its opponents, making them unable to use priority moves against the Pokémon or its allies.|2024-08-04 13:58:08.956040
201|berserk|Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to drop to half or less.|2024-08-04 13:58:08.956040
200|steelworker|Powers up Steel-type moves.|2024-08-04 13:58:08.956040
226|electric-surge|Turns the ground into Electric Terrain when the Pokémon enters a battle.|2024-08-04 13:58:08.956040
227|psychic-surge|Turns the ground into Psychic Terrain when the Pokémon enters a battle.|2024-08-04 13:58:08.956040
229|grassy-surge|Turns the ground into Grassy Terrain when the Pokémon enters a battle.|2024-08-04 13:58:08.956040
228|misty-surge|Turns the ground into Misty Terrain when the Pokémon enters a battle.|2024-08-04 13:58:08.956040
230|full-metal-body|"Prevents other Pokémon’s moves or Abilities from
lowering the Pokémon’s stats."|2024-08-04 13:58:08.956040
231|shadow-shield|"Reduces the amount of damage the Pokémon takes
while its HP is full."|2024-08-04 13:58:08.956040
224|beast-boost|"The Pokémon boosts its most proficient stat each
time it knocks out a Pokémon."|2024-08-04 13:58:08.956040
232|prism-armor|Reduces the power of supereffective attacks taken.|2024-08-04 13:58:08.956040
220|soul-heart|Boosts the Pokémon's Sp. Atk stat every time another Pokémon faints.|2024-08-04 13:58:08.956040
236|libero|Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.|2024-08-04 13:58:08.956040
240|mirror-armor|Bounces back only the stat-lowering effects that the Pokémon receives.|2024-08-04 13:58:08.956040
238|cotton-down|"When the Pokémon is hit by an attack, it scatters
cotton fluff around and lowers the Speed stat of
all Pokémon except itself."|2024-08-04 13:58:08.956040
237|ball-fetch|"If the Pokémon is not holding an item, it will fetch
the Poké Ball from the first failed throw
of the battle."|2024-08-04 13:58:08.956040
243|steam-engine|Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.|2024-08-04 13:58:08.956040
247|ripen|Ripens Berries and doubles their effect.|2024-08-04 13:58:08.956040
245|sand-spit|The Pokémon creates a sandstorm when it's hit by an attack.|2024-08-04 13:58:08.956040
241|gulp-missile|"When the Pokémon uses Surf or Dive, it will come back
with prey. When it takes damage, it will spit out the prey
to attack."|2024-08-04 13:58:08.956040
239|propeller-tail|Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.|2024-08-04 13:58:08.956040
244|punk-rock|Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.|2024-08-04 13:58:08.956040
252|steely-spirit|Powers up the Steel-type moves of the Pokémon and its allies.|2024-08-04 13:58:08.956040
253|perish-body|"When hit by a move that makes direct contact,
the Pokémon and the attacker will faint after three turns
unless they switch out of battle."|2024-08-04 13:58:08.956040
251|screen-cleaner|"When the Pokémon enters a battle, the effects of
Light Screen, Reflect, and Aurora Veil are nullified for
both opposing and ally Pokémon."|2024-08-04 13:58:08.956040
254|wandering-spirit|"The Pokémon exchanges Abilities with a Pokémon
that hits it with a move that makes direct contact."|2024-08-04 13:58:08.956040
246|ice-scales|The Pokémon is protected by ice scales, which halve the damage taken from special moves.|2024-08-04 13:58:08.956040
249|power-spot|Just being next to the Pokémon powers up moves.|2024-08-04 13:58:08.956040
248|ice-face|The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it snows.|2024-08-04 13:58:08.956040
258|hunger-switch|The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.|2024-08-04 13:58:08.956040
242|stalwart|Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.|2024-08-04 13:58:08.956040
234|intrepid-sword|Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.|2024-08-04 13:58:08.956040
235|dauntless-shield|Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.|2024-08-04 13:58:08.956040
260|unseen-fist|If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.|2024-08-04 13:58:08.956040
262|transistor|Powers up Electric-type moves.|2024-08-04 13:58:08.956040
263|dragons-maw|Powers up Dragon-type moves.|2024-08-04 13:58:08.956040
264|chilling-neigh|When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.|2024-08-04 13:58:08.956040
265|grim-neigh|When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.|2024-08-04 13:58:08.956040
268|lingering-aroma|Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.|2024-08-04 13:58:08.956040
273|well-baked-body|The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.|2024-08-04 13:58:08.956040
269|seed-sower|Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.|2024-08-04 13:58:08.956040
272|purifying-salt|The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.|2024-08-04 13:58:08.956040
280|electromorphosis|The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.|2024-08-04 13:58:08.956040
277|wind-power|The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.|2024-08-04 13:58:08.956040
275|guard-dog|Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.|2024-08-04 13:58:08.956040
298|mycelium-might|The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.|2024-08-04 13:58:08.956040
271|anger-shell|When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.|2024-08-04 13:58:08.956040
290|opportunist|If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.|2024-08-04 13:58:08.956040
276|rocky-payload|Powers up Rock-type moves.|2024-08-04 13:58:08.956040
278|zero-to-hero|The Pokémon transforms into its Hero Form when it switches out.|2024-08-04 13:58:08.956040
297|earth-eater|If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:08.956040
