pkmn_id|evolve_to_pkmn|evol_req_gender|evol_req_held_item|evol_req_item|evol_req_known_move|evol_req_known_move_type|evol_req_location|evol_req_min_affection|evol_req_min_beauty|evol_req_min_happiness|evol_req_min_level|evol_req_needs_overworld_rain|evol_req_party_species|evol_req_party_type|evol_req_relative_physical_stats|evol_req_time_of_day|evol_req_trade_species|evol_req_turn_upside_down|evol_req_baby|extraer_datetime
21|spearow||||||||||||||||||True|2024-08-17 12:03:45.548364
21|fearow||||||||||20|False||||||False|False|2024-08-17 12:03:45.548364
22|spearow||||||||||||||||||True|2024-08-17 12:03:45.548364
22|fearow||||||||||20|False||||||False|False|2024-08-17 12:03:45.548364
23|ekans||||||||||||||||||True|2024-08-17 12:03:45.548364
23|arbok||||||||||22|False||||||False|False|2024-08-17 12:03:45.548364
24|ekans||||||||||||||||||True|2024-08-17 12:03:45.548364
24|arbok||||||||||22|False||||||False|False|2024-08-17 12:03:45.548364
25|pichu||||||||||||||||||True|2024-08-17 12:03:45.548364
25|pikachu|||||||||220||False||||||False|False|2024-08-17 12:03:45.548364
25|raichu|||{'name': 'thunder-stone', 'url': 'https://pokeapi.co/api/v2/item/83/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
26|pichu||||||||||||||||||True|2024-08-17 12:03:45.548364
26|pikachu|||||||||220||False||||||False|False|2024-08-17 12:03:45.548364
26|raichu|||{'name': 'thunder-stone', 'url': 'https://pokeapi.co/api/v2/item/83/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
27|sandshrew||||||||||||||||||True|2024-08-17 12:03:45.548364
27|sandslash||||||||||22|False||||||False|False|2024-08-17 12:03:45.548364
28|sandshrew||||||||||||||||||True|2024-08-17 12:03:45.548364
28|sandslash||||||||||22|False||||||False|False|2024-08-17 12:03:45.548364
29|nidoran-f||||||||||||||||||True|2024-08-17 12:03:45.548364
29|nidorina||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
29|nidoqueen|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
30|nidoran-f||||||||||||||||||True|2024-08-17 12:03:45.548364
30|nidorina||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
30|nidoqueen|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
31|nidoran-f||||||||||||||||||True|2024-08-17 12:03:45.548364
31|nidorina||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
31|nidoqueen|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
32|nidoran-m||||||||||||||||||True|2024-08-17 12:03:45.548364
32|nidorino||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
32|nidoking|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
33|nidoran-m||||||||||||||||||True|2024-08-17 12:03:45.548364
33|nidorino||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
33|nidoking|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
34|nidoran-m||||||||||||||||||True|2024-08-17 12:03:45.548364
34|nidorino||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
34|nidoking|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
35|cleffa||||||||||||||||||True|2024-08-17 12:03:45.548364
35|clefairy|||||||||160||False||||||False|False|2024-08-17 12:03:45.548364
35|clefable|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
36|cleffa||||||||||||||||||True|2024-08-17 12:03:45.548364
36|clefairy|||||||||160||False||||||False|False|2024-08-17 12:03:45.548364
36|clefable|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
37|vulpix||||||||||||||||||True|2024-08-17 12:03:45.548364
37|ninetales|||{'name': 'fire-stone', 'url': 'https://pokeapi.co/api/v2/item/82/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
38|vulpix||||||||||||||||||True|2024-08-17 12:03:45.548364
38|ninetales|||{'name': 'fire-stone', 'url': 'https://pokeapi.co/api/v2/item/82/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
39|igglybuff||||||||||||||||||True|2024-08-17 12:03:45.548364
39|jigglypuff|||||||||160||False||||||False|False|2024-08-17 12:03:45.548364
39|wigglytuff|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
40|igglybuff||||||||||||||||||True|2024-08-17 12:03:45.548364
40|jigglypuff|||||||||160||False||||||False|False|2024-08-17 12:03:45.548364
40|wigglytuff|||{'name': 'moon-stone', 'url': 'https://pokeapi.co/api/v2/item/81/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
41|zubat||||||||||||||||||True|2024-08-17 12:03:45.548364
41|golbat||||||||||22|False||||||False|False|2024-08-17 12:03:45.548364
41|crobat|||||||||160||False||||||False|False|2024-08-17 12:03:45.548364
42|zubat||||||||||||||||||True|2024-08-17 12:03:45.548364
42|golbat||||||||||22|False||||||False|False|2024-08-17 12:03:45.548364
42|crobat|||||||||160||False||||||False|False|2024-08-17 12:03:45.548364
43|oddish||||||||||||||||||True|2024-08-17 12:03:45.548364
43|gloom||||||||||21|False||||||False|False|2024-08-17 12:03:45.548364
43|vileplume|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
43|bellossom|||{'name': 'sun-stone', 'url': 'https://pokeapi.co/api/v2/item/80/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
44|oddish||||||||||||||||||True|2024-08-17 12:03:45.548364
44|gloom||||||||||21|False||||||False|False|2024-08-17 12:03:45.548364
44|vileplume|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
44|bellossom|||{'name': 'sun-stone', 'url': 'https://pokeapi.co/api/v2/item/80/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
45|oddish||||||||||||||||||True|2024-08-17 12:03:45.548364
45|gloom||||||||||21|False||||||False|False|2024-08-17 12:03:45.548364
45|vileplume|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
45|bellossom|||{'name': 'sun-stone', 'url': 'https://pokeapi.co/api/v2/item/80/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
46|paras||||||||||||||||||True|2024-08-17 12:03:45.548364
46|parasect||||||||||24|False||||||False|False|2024-08-17 12:03:45.548364
47|paras||||||||||||||||||True|2024-08-17 12:03:45.548364
47|parasect||||||||||24|False||||||False|False|2024-08-17 12:03:45.548364
48|venonat||||||||||||||||||True|2024-08-17 12:03:45.548364
48|venomoth||||||||||31|False||||||False|False|2024-08-17 12:03:45.548364
49|venonat||||||||||||||||||True|2024-08-17 12:03:45.548364
49|venomoth||||||||||31|False||||||False|False|2024-08-17 12:03:45.548364
50|diglett||||||||||||||||||True|2024-08-17 12:03:45.548364
50|dugtrio||||||||||26|False||||||False|False|2024-08-17 12:03:45.548364
51|diglett||||||||||||||||||True|2024-08-17 12:03:45.548364
51|dugtrio||||||||||26|False||||||False|False|2024-08-17 12:03:45.548364
52|meowth||||||||||||||||||True|2024-08-17 12:03:45.548364
52|persian||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
52|perrserker||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
53|meowth||||||||||||||||||True|2024-08-17 12:03:45.548364
53|persian||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
53|perrserker||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
54|psyduck||||||||||||||||||True|2024-08-17 12:03:45.548364
54|golduck||||||||||33|False||||||False|False|2024-08-17 12:03:45.548364
55|psyduck||||||||||||||||||True|2024-08-17 12:03:45.548364
55|golduck||||||||||33|False||||||False|False|2024-08-17 12:03:45.548364
56|mankey||||||||||||||||||True|2024-08-17 12:03:45.548364
56|primeape||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
56|annihilape|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
57|mankey||||||||||||||||||True|2024-08-17 12:03:45.548364
57|primeape||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
57|annihilape|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
58|growlithe||||||||||||||||||True|2024-08-17 12:03:45.548364
58|arcanine|||{'name': 'fire-stone', 'url': 'https://pokeapi.co/api/v2/item/82/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
59|growlithe||||||||||||||||||True|2024-08-17 12:03:45.548364
59|arcanine|||{'name': 'fire-stone', 'url': 'https://pokeapi.co/api/v2/item/82/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
60|poliwag||||||||||||||||||True|2024-08-17 12:03:45.548364
60|poliwhirl||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
60|poliwrath|||{'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
60|politoed||{'name': 'kings-rock', 'url': 'https://pokeapi.co/api/v2/item/198/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
61|poliwag||||||||||||||||||True|2024-08-17 12:03:45.548364
61|poliwhirl||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
61|poliwrath|||{'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
61|politoed||{'name': 'kings-rock', 'url': 'https://pokeapi.co/api/v2/item/198/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
62|poliwag||||||||||||||||||True|2024-08-17 12:03:45.548364
62|poliwhirl||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
62|poliwrath|||{'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
62|politoed||{'name': 'kings-rock', 'url': 'https://pokeapi.co/api/v2/item/198/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
63|abra||||||||||||||||||True|2024-08-17 12:03:45.548364
63|kadabra||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
63|alakazam|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
64|abra||||||||||||||||||True|2024-08-17 12:03:45.548364
64|kadabra||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
64|alakazam|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
65|abra||||||||||||||||||True|2024-08-17 12:03:45.548364
65|kadabra||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
65|alakazam|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
66|machop||||||||||||||||||True|2024-08-17 12:03:45.548364
66|machoke||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
66|machamp|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
67|machop||||||||||||||||||True|2024-08-17 12:03:45.548364
67|machoke||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
67|machamp|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
68|machop||||||||||||||||||True|2024-08-17 12:03:45.548364
68|machoke||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
68|machamp|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
69|bellsprout||||||||||||||||||True|2024-08-17 12:03:45.548364
69|weepinbell||||||||||21|False||||||False|False|2024-08-17 12:03:45.548364
69|victreebel|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
70|bellsprout||||||||||||||||||True|2024-08-17 12:03:45.548364
70|weepinbell||||||||||21|False||||||False|False|2024-08-17 12:03:45.548364
70|victreebel|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
71|bellsprout||||||||||||||||||True|2024-08-17 12:03:45.548364
71|weepinbell||||||||||21|False||||||False|False|2024-08-17 12:03:45.548364
71|victreebel|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
72|tentacool||||||||||||||||||True|2024-08-17 12:03:45.548364
72|tentacruel||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
73|tentacool||||||||||||||||||True|2024-08-17 12:03:45.548364
73|tentacruel||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
74|geodude||||||||||||||||||True|2024-08-17 12:03:45.548364
74|graveler||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
74|golem|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
75|geodude||||||||||||||||||True|2024-08-17 12:03:45.548364
75|graveler||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
75|golem|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
76|geodude||||||||||||||||||True|2024-08-17 12:03:45.548364
76|graveler||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
76|golem|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
77|ponyta||||||||||||||||||True|2024-08-17 12:03:45.548364
77|rapidash||||||||||40|False||||||False|False|2024-08-17 12:03:45.548364
78|ponyta||||||||||||||||||True|2024-08-17 12:03:45.548364
78|rapidash||||||||||40|False||||||False|False|2024-08-17 12:03:45.548364
79|slowpoke||||||||||||||||||True|2024-08-17 12:03:45.548364
79|slowbro||||||||||37|False||||||False|False|2024-08-17 12:03:45.548364
79|slowking||{'name': 'kings-rock', 'url': 'https://pokeapi.co/api/v2/item/198/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
80|slowpoke||||||||||||||||||True|2024-08-17 12:03:45.548364
80|slowbro||||||||||37|False||||||False|False|2024-08-17 12:03:45.548364
80|slowking||{'name': 'kings-rock', 'url': 'https://pokeapi.co/api/v2/item/198/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
81|magnemite||||||||||||||||||True|2024-08-17 12:03:45.548364
81|magneton||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
81|magnezone||||||{'name': 'mt-coronet', 'url': 'https://pokeapi.co/api/v2/location/10/'}|||||False||||||False|False|2024-08-17 12:03:45.548364
82|magnemite||||||||||||||||||True|2024-08-17 12:03:45.548364
82|magneton||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
82|magnezone||||||{'name': 'mt-coronet', 'url': 'https://pokeapi.co/api/v2/location/10/'}|||||False||||||False|False|2024-08-17 12:03:45.548364
83|farfetchd||||||||||||||||||True|2024-08-17 12:03:45.548364
83|sirfetchd|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
84|doduo||||||||||||||||||True|2024-08-17 12:03:45.548364
84|dodrio||||||||||31|False||||||False|False|2024-08-17 12:03:45.548364
85|doduo||||||||||||||||||True|2024-08-17 12:03:45.548364
85|dodrio||||||||||31|False||||||False|False|2024-08-17 12:03:45.548364
86|seel||||||||||||||||||True|2024-08-17 12:03:45.548364
86|dewgong||||||||||34|False||||||False|False|2024-08-17 12:03:45.548364
87|seel||||||||||||||||||True|2024-08-17 12:03:45.548364
87|dewgong||||||||||34|False||||||False|False|2024-08-17 12:03:45.548364
88|grimer||||||||||||||||||True|2024-08-17 12:03:45.548364
88|muk||||||||||38|False||||||False|False|2024-08-17 12:03:45.548364
89|grimer||||||||||||||||||True|2024-08-17 12:03:45.548364
89|muk||||||||||38|False||||||False|False|2024-08-17 12:03:45.548364
90|shellder||||||||||||||||||True|2024-08-17 12:03:45.548364
90|cloyster|||{'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
91|shellder||||||||||||||||||True|2024-08-17 12:03:45.548364
91|cloyster|||{'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
92|gastly||||||||||||||||||True|2024-08-17 12:03:45.548364
92|haunter||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
92|gengar|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
93|gastly||||||||||||||||||True|2024-08-17 12:03:45.548364
93|haunter||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
93|gengar|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
94|gastly||||||||||||||||||True|2024-08-17 12:03:45.548364
94|haunter||||||||||25|False||||||False|False|2024-08-17 12:03:45.548364
94|gengar|||||||||||False||||||False|False|2024-08-17 12:03:45.548364
95|onix||||||||||||||||||True|2024-08-17 12:03:45.548364
95|steelix||{'name': 'metal-coat', 'url': 'https://pokeapi.co/api/v2/item/210/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
96|drowzee||||||||||||||||||True|2024-08-17 12:03:45.548364
96|hypno||||||||||26|False||||||False|False|2024-08-17 12:03:45.548364
97|drowzee||||||||||||||||||True|2024-08-17 12:03:45.548364
97|hypno||||||||||26|False||||||False|False|2024-08-17 12:03:45.548364
98|krabby||||||||||||||||||True|2024-08-17 12:03:45.548364
98|kingler||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
99|krabby||||||||||||||||||True|2024-08-17 12:03:45.548364
99|kingler||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
100|voltorb||||||||||||||||||True|2024-08-17 12:03:45.548364
100|electrode||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
101|voltorb||||||||||||||||||True|2024-08-17 12:03:45.548364
101|electrode||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
102|exeggcute||||||||||||||||||True|2024-08-17 12:03:45.548364
102|exeggutor|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
103|exeggcute||||||||||||||||||True|2024-08-17 12:03:45.548364
103|exeggutor|||{'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
104|cubone||||||||||||||||||True|2024-08-17 12:03:45.548364
104|marowak||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
105|cubone||||||||||||||||||True|2024-08-17 12:03:45.548364
105|marowak||||||||||28|False||||||False|False|2024-08-17 12:03:45.548364
106|tyrogue||||||||||||||||||True|2024-08-17 12:03:45.548364
106|hitmonlee||||||||||20|False|||1|||False|False|2024-08-17 12:03:45.548364
106|hitmonchan||||||||||20|False|||-1|||False|False|2024-08-17 12:03:45.548364
106|hitmontop||||||||||20|False|||0|||False|False|2024-08-17 12:03:45.548364
107|tyrogue||||||||||||||||||True|2024-08-17 12:03:45.548364
107|hitmonlee||||||||||20|False|||1|||False|False|2024-08-17 12:03:45.548364
107|hitmonchan||||||||||20|False|||-1|||False|False|2024-08-17 12:03:45.548364
107|hitmontop||||||||||20|False|||0|||False|False|2024-08-17 12:03:45.548364
108|lickitung||||||||||||||||||True|2024-08-17 12:03:45.548364
108|lickilicky||||{'name': 'rollout', 'url': 'https://pokeapi.co/api/v2/move/205/'}|||||||False||||||False|False|2024-08-17 12:03:45.548364
109|koffing||||||||||||||||||True|2024-08-17 12:03:45.548364
109|weezing||||||||||35|False||||||False|False|2024-08-17 12:03:45.548364
110|koffing||||||||||||||||||True|2024-08-17 12:03:45.548364
110|weezing||||||||||35|False||||||False|False|2024-08-17 12:03:45.548364
111|rhyhorn||||||||||||||||||True|2024-08-17 12:03:45.548364
111|rhydon||||||||||42|False||||||False|False|2024-08-17 12:03:45.548364
111|rhyperior||{'name': 'protector', 'url': 'https://pokeapi.co/api/v2/item/298/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
112|rhyhorn||||||||||||||||||True|2024-08-17 12:03:45.548364
112|rhydon||||||||||42|False||||||False|False|2024-08-17 12:03:45.548364
112|rhyperior||{'name': 'protector', 'url': 'https://pokeapi.co/api/v2/item/298/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
113|happiny||||||||||||||||||True|2024-08-17 12:03:45.548364
113|chansey||{'name': 'oval-stone', 'url': 'https://pokeapi.co/api/v2/item/110/'}|||||||||False||||day||False|False|2024-08-17 12:03:45.548364
113|blissey|||||||||160||False||||||False|False|2024-08-17 12:03:45.548364
114|tangela||||||||||||||||||True|2024-08-17 12:03:45.548364
114|tangrowth||||{'name': 'ancient-power', 'url': 'https://pokeapi.co/api/v2/move/246/'}|||||||False||||||False|False|2024-08-17 12:03:45.548364
115|kangaskhan||||||||||||||||||True|2024-08-17 12:03:45.548364
116|horsea||||||||||||||||||True|2024-08-17 12:03:45.548364
116|seadra||||||||||32|False||||||False|False|2024-08-17 12:03:45.548364
116|kingdra||{'name': 'dragon-scale', 'url': 'https://pokeapi.co/api/v2/item/212/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
117|horsea||||||||||||||||||True|2024-08-17 12:03:45.548364
117|seadra||||||||||32|False||||||False|False|2024-08-17 12:03:45.548364
117|kingdra||{'name': 'dragon-scale', 'url': 'https://pokeapi.co/api/v2/item/212/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
118|goldeen||||||||||||||||||True|2024-08-17 12:03:45.548364
118|seaking||||||||||33|False||||||False|False|2024-08-17 12:03:45.548364
119|goldeen||||||||||||||||||True|2024-08-17 12:03:45.548364
119|seaking||||||||||33|False||||||False|False|2024-08-17 12:03:45.548364
120|staryu||||||||||||||||||True|2024-08-17 12:03:45.548364
120|starmie|||{'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
121|staryu||||||||||||||||||True|2024-08-17 12:03:45.548364
121|starmie|||{'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
122|mime-jr||||||||||||||||||True|2024-08-17 12:03:45.548364
122|mr-mime||||{'name': 'mimic', 'url': 'https://pokeapi.co/api/v2/move/102/'}|||||||False||||||False|False|2024-08-17 12:03:45.548364
122|mr-rime||||||||||42|False||||||False|False|2024-08-17 12:03:45.548364
123|scyther||||||||||||||||||True|2024-08-17 12:03:45.548364
123|scizor||{'name': 'metal-coat', 'url': 'https://pokeapi.co/api/v2/item/210/'}|||||||||False||||||False|False|2024-08-17 12:03:45.548364
123|kleavor|||{'name': 'black-augurite', 'url': 'https://pokeapi.co/api/v2/item/10001/'}||||||||False||||||False|False|2024-08-17 12:03:45.548364
124|smoochum||||||||||||||||||True|2024-08-17 12:03:45.548364
124|jynx||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
125|elekid||||||||||||||||||True|2024-08-17 12:03:45.548364
125|electabuzz||||||||||30|False||||||False|False|2024-08-17 12:03:45.548364
