pkmn_id|pokemon_order|pokemon_name|pokemon_weight|pokemon_height|pokemon_image_path|extraer_datetime
30|58|nidorina|200|8|./pokemon-sprites/30-nidorina.png|2024-08-17 12:03:45.522369
31|59|nidoqueen|600|13|./pokemon-sprites/31-nidoqueen.png|2024-08-17 12:03:45.522369
32|60|nidoran-m|90|5|./pokemon-sprites/32-nidoran-m.png|2024-08-17 12:03:45.522369
33|61|nidorino|195|9|./pokemon-sprites/33-nidorino.png|2024-08-17 12:03:45.522369
34|62|nidoking|620|14|./pokemon-sprites/34-nidoking.png|2024-08-17 12:03:45.522369
35|64|clefairy|75|6|./pokemon-sprites/35-clefairy.png|2024-08-17 12:03:45.522369
36|65|clefable|400|13|./pokemon-sprites/36-clefable.png|2024-08-17 12:03:45.522369
37|66|vulpix|99|6|./pokemon-sprites/37-vulpix.png|2024-08-17 12:03:45.522369
38|68|ninetales|199|11|./pokemon-sprites/38-ninetales.png|2024-08-17 12:03:45.522369
39|71|jigglypuff|55|5|./pokemon-sprites/39-jigglypuff.png|2024-08-17 12:03:45.522369
40|72|wigglytuff|120|10|./pokemon-sprites/40-wigglytuff.png|2024-08-17 12:03:45.522369
41|73|zubat|75|8|./pokemon-sprites/41-zubat.png|2024-08-17 12:03:45.522369
42|74|golbat|550|16|./pokemon-sprites/42-golbat.png|2024-08-17 12:03:45.522369
43|76|oddish|54|5|./pokemon-sprites/43-oddish.png|2024-08-17 12:03:45.522369
44|77|gloom|86|8|./pokemon-sprites/44-gloom.png|2024-08-17 12:03:45.522369
45|78|vileplume|186|12|./pokemon-sprites/45-vileplume.png|2024-08-17 12:03:45.522369
46|80|paras|54|3|./pokemon-sprites/46-paras.png|2024-08-17 12:03:45.522369
47|81|parasect|295|10|./pokemon-sprites/47-parasect.png|2024-08-17 12:03:45.522369
48|82|venonat|300|10|./pokemon-sprites/48-venonat.png|2024-08-17 12:03:45.522369
49|83|venomoth|125|15|./pokemon-sprites/49-venomoth.png|2024-08-17 12:03:45.522369
50|84|diglett|8|2|./pokemon-sprites/50-diglett.png|2024-08-17 12:03:45.522369
51|86|dugtrio|333|7|./pokemon-sprites/51-dugtrio.png|2024-08-17 12:03:45.522369
52|88|meowth|42|4|./pokemon-sprites/52-meowth.png|2024-08-17 12:03:45.522369
53|91|persian|320|10|./pokemon-sprites/53-persian.png|2024-08-17 12:03:45.522369
54|93|psyduck|196|8|./pokemon-sprites/54-psyduck.png|2024-08-17 12:03:45.522369
55|94|golduck|766|17|./pokemon-sprites/55-golduck.png|2024-08-17 12:03:45.522369
56|95|mankey|280|5|./pokemon-sprites/56-mankey.png|2024-08-17 12:03:45.522369
57|96|primeape|320|10|./pokemon-sprites/57-primeape.png|2024-08-17 12:03:45.522369
58|97|growlithe|190|7|./pokemon-sprites/58-growlithe.png|2024-08-17 12:03:45.522369
59|98|arcanine|1550|19|./pokemon-sprites/59-arcanine.png|2024-08-17 12:03:45.522369
60|99|poliwag|124|6|./pokemon-sprites/60-poliwag.png|2024-08-17 12:03:45.522369
61|100|poliwhirl|200|10|./pokemon-sprites/61-poliwhirl.png|2024-08-17 12:03:45.522369
62|101|poliwrath|540|13|./pokemon-sprites/62-poliwrath.png|2024-08-17 12:03:45.522369
63|103|abra|195|9|./pokemon-sprites/63-abra.png|2024-08-17 12:03:45.522369
64|104|kadabra|565|13|./pokemon-sprites/64-kadabra.png|2024-08-17 12:03:45.522369
65|105|alakazam|480|15|./pokemon-sprites/65-alakazam.png|2024-08-17 12:03:45.522369
66|107|machop|195|8|./pokemon-sprites/66-machop.png|2024-08-17 12:03:45.522369
67|108|machoke|705|15|./pokemon-sprites/67-machoke.png|2024-08-17 12:03:45.522369
68|109|machamp|1300|16|./pokemon-sprites/68-machamp.png|2024-08-17 12:03:45.522369
69|110|bellsprout|40|7|./pokemon-sprites/69-bellsprout.png|2024-08-17 12:03:45.522369
70|111|weepinbell|64|10|./pokemon-sprites/70-weepinbell.png|2024-08-17 12:03:45.522369
71|112|victreebel|155|17|./pokemon-sprites/71-victreebel.png|2024-08-17 12:03:45.522369
72|113|tentacool|455|9|./pokemon-sprites/72-tentacool.png|2024-08-17 12:03:45.522369
73|114|tentacruel|550|16|./pokemon-sprites/73-tentacruel.png|2024-08-17 12:03:45.522369
74|115|geodude|200|4|./pokemon-sprites/74-geodude.png|2024-08-17 12:03:45.522369
75|117|graveler|1050|10|./pokemon-sprites/75-graveler.png|2024-08-17 12:03:45.522369
76|119|golem|3000|14|./pokemon-sprites/76-golem.png|2024-08-17 12:03:45.522369
77|121|ponyta|300|10|./pokemon-sprites/77-ponyta.png|2024-08-17 12:03:45.522369
78|123|rapidash|950|17|./pokemon-sprites/78-rapidash.png|2024-08-17 12:03:45.522369
79|125|slowpoke|360|12|./pokemon-sprites/79-slowpoke.png|2024-08-17 12:03:45.522369
80|127|slowbro|785|16|./pokemon-sprites/80-slowbro.png|2024-08-17 12:03:45.522369
81|132|magnemite|60|3|./pokemon-sprites/81-magnemite.png|2024-08-17 12:03:45.522369
82|133|magneton|600|10|./pokemon-sprites/82-magneton.png|2024-08-17 12:03:45.522369
83|135|farfetchd|150|8|./pokemon-sprites/83-farfetchd.png|2024-08-17 12:03:45.522369
84|137|doduo|392|14|./pokemon-sprites/84-doduo.png|2024-08-17 12:03:45.522369
85|138|dodrio|852|18|./pokemon-sprites/85-dodrio.png|2024-08-17 12:03:45.522369
86|139|seel|900|11|./pokemon-sprites/86-seel.png|2024-08-17 12:03:45.522369
87|140|dewgong|1200|17|./pokemon-sprites/87-dewgong.png|2024-08-17 12:03:45.522369
88|141|grimer|300|9|./pokemon-sprites/88-grimer.png|2024-08-17 12:03:45.522369
89|143|muk|300|12|./pokemon-sprites/89-muk.png|2024-08-17 12:03:45.522369
90|145|shellder|40|3|./pokemon-sprites/90-shellder.png|2024-08-17 12:03:45.522369
91|146|cloyster|1325|15|./pokemon-sprites/91-cloyster.png|2024-08-17 12:03:45.522369
92|147|gastly|1|13|./pokemon-sprites/92-gastly.png|2024-08-17 12:03:45.522369
93|148|haunter|1|16|./pokemon-sprites/93-haunter.png|2024-08-17 12:03:45.522369
94|149|gengar|405|15|./pokemon-sprites/94-gengar.png|2024-08-17 12:03:45.522369
95|151|onix|2100|88|./pokemon-sprites/95-onix.png|2024-08-17 12:03:45.522369
96|154|drowzee|324|10|./pokemon-sprites/96-drowzee.png|2024-08-17 12:03:45.522369
97|155|hypno|756|16|./pokemon-sprites/97-hypno.png|2024-08-17 12:03:45.522369
98|156|krabby|65|4|./pokemon-sprites/98-krabby.png|2024-08-17 12:03:45.522369
99|157|kingler|600|13|./pokemon-sprites/99-kingler.png|2024-08-17 12:03:45.522369
100|158|voltorb|104|5|./pokemon-sprites/100-voltorb.png|2024-08-17 12:03:45.522369
101|159|electrode|666|12|./pokemon-sprites/101-electrode.png|2024-08-17 12:03:45.522369
102|160|exeggcute|25|4|./pokemon-sprites/102-exeggcute.png|2024-08-17 12:03:45.522369
103|161|exeggutor|1200|20|./pokemon-sprites/103-exeggutor.png|2024-08-17 12:03:45.522369
104|163|cubone|65|4|./pokemon-sprites/104-cubone.png|2024-08-17 12:03:45.522369
105|164|marowak|450|10|./pokemon-sprites/105-marowak.png|2024-08-17 12:03:45.522369
106|168|hitmonlee|498|15|./pokemon-sprites/106-hitmonlee.png|2024-08-17 12:03:45.522369
107|169|hitmonchan|502|14|./pokemon-sprites/107-hitmonchan.png|2024-08-17 12:03:45.522369
108|171|lickitung|655|12|./pokemon-sprites/108-lickitung.png|2024-08-17 12:03:45.522369
109|173|koffing|10|6|./pokemon-sprites/109-koffing.png|2024-08-17 12:03:45.522369
110|174|weezing|95|12|./pokemon-sprites/110-weezing.png|2024-08-17 12:03:45.522369
111|176|rhyhorn|1150|10|./pokemon-sprites/111-rhyhorn.png|2024-08-17 12:03:45.522369
112|177|rhydon|1200|19|./pokemon-sprites/112-rhydon.png|2024-08-17 12:03:45.522369
113|180|chansey|346|11|./pokemon-sprites/113-chansey.png|2024-08-17 12:03:45.522369
114|182|tangela|350|10|./pokemon-sprites/114-tangela.png|2024-08-17 12:03:45.522369
115|184|kangaskhan|800|22|./pokemon-sprites/115-kangaskhan.png|2024-08-17 12:03:45.522369
116|186|horsea|80|4|./pokemon-sprites/116-horsea.png|2024-08-17 12:03:45.522369
117|187|seadra|250|12|./pokemon-sprites/117-seadra.png|2024-08-17 12:03:45.522369
118|189|goldeen|150|6|./pokemon-sprites/118-goldeen.png|2024-08-17 12:03:45.522369
119|190|seaking|390|13|./pokemon-sprites/119-seaking.png|2024-08-17 12:03:45.522369
120|191|staryu|345|8|./pokemon-sprites/120-staryu.png|2024-08-17 12:03:45.522369
121|192|starmie|800|11|./pokemon-sprites/121-starmie.png|2024-08-17 12:03:45.522369
122|194|mr-mime|545|13|./pokemon-sprites/122-mr-mime.png|2024-08-17 12:03:45.522369
123|196|scyther|560|15|./pokemon-sprites/123-scyther.png|2024-08-17 12:03:45.522369
124|200|jynx|406|14|./pokemon-sprites/124-jynx.png|2024-08-17 12:03:45.522369
125|202|electabuzz|300|11|./pokemon-sprites/125-electabuzz.png|2024-08-17 12:03:45.522369
126|205|magmar|445|13|./pokemon-sprites/126-magmar.png|2024-08-17 12:03:45.522369
127|207|pinsir|550|15|./pokemon-sprites/127-pinsir.png|2024-08-17 12:03:45.522369
128|209|tauros|884|14|./pokemon-sprites/128-tauros.png|2024-08-17 12:03:45.522369
129|210|magikarp|100|9|./pokemon-sprites/129-magikarp.png|2024-08-17 12:03:45.522369
130|211|gyarados|2350|65|./pokemon-sprites/130-gyarados.png|2024-08-17 12:03:45.522369
131|213|lapras|2200|25|./pokemon-sprites/131-lapras.png|2024-08-17 12:03:45.522369
132|214|ditto|40|3|./pokemon-sprites/132-ditto.png|2024-08-17 12:03:45.522369
133|215|eevee|65|3|./pokemon-sprites/133-eevee.png|2024-08-17 12:03:45.522369
134|217|vaporeon|290|10|./pokemon-sprites/134-vaporeon.png|2024-08-17 12:03:45.522369
135|218|jolteon|245|8|./pokemon-sprites/135-jolteon.png|2024-08-17 12:03:45.522369
136|219|flareon|250|9|./pokemon-sprites/136-flareon.png|2024-08-17 12:03:45.522369
137|225|porygon|365|8|./pokemon-sprites/137-porygon.png|2024-08-17 12:03:45.522369
138|228|omanyte|75|4|./pokemon-sprites/138-omanyte.png|2024-08-17 12:03:45.522369
139|229|omastar|350|10|./pokemon-sprites/139-omastar.png|2024-08-17 12:03:45.522369
140|230|kabuto|115|5|./pokemon-sprites/140-kabuto.png|2024-08-17 12:03:45.522369
141|231|kabutops|405|13|./pokemon-sprites/141-kabutops.png|2024-08-17 12:03:45.522369
142|232|aerodactyl|590|18|./pokemon-sprites/142-aerodactyl.png|2024-08-17 12:03:45.522369
143|235|snorlax|4600|21|./pokemon-sprites/143-snorlax.png|2024-08-17 12:03:45.522369
144|236|articuno|554|17|./pokemon-sprites/144-articuno.png|2024-08-17 12:03:45.522369
145|238|zapdos|526|16|./pokemon-sprites/145-zapdos.png|2024-08-17 12:03:45.522369
146|240|moltres|600|20|./pokemon-sprites/146-moltres.png|2024-08-17 12:03:45.522369
147|242|dratini|33|18|./pokemon-sprites/147-dratini.png|2024-08-17 12:03:45.522369
148|243|dragonair|165|40|./pokemon-sprites/148-dragonair.png|2024-08-17 12:03:45.522369
149|244|dragonite|2100|22|./pokemon-sprites/149-dragonite.png|2024-08-17 12:03:45.522369
150|245|mewtwo|1220|20|./pokemon-sprites/150-mewtwo.png|2024-08-17 12:03:45.522369
151|248|mew|40|4|./pokemon-sprites/151-mew.png|2024-08-17 12:03:45.522369
152|249|chikorita|64|9|./pokemon-sprites/152-chikorita.png|2024-08-17 12:03:45.522369
153|250|bayleef|158|12|./pokemon-sprites/153-bayleef.png|2024-08-17 12:03:45.522369
154|251|meganium|1005|18|./pokemon-sprites/154-meganium.png|2024-08-17 12:03:45.522369
155|252|cyndaquil|79|5|./pokemon-sprites/155-cyndaquil.png|2024-08-17 12:03:45.522369
156|253|quilava|190|9|./pokemon-sprites/156-quilava.png|2024-08-17 12:03:45.522369
157|254|typhlosion|795|17|./pokemon-sprites/157-typhlosion.png|2024-08-17 12:03:45.522369
158|255|totodile|95|6|./pokemon-sprites/158-totodile.png|2024-08-17 12:03:45.522369
159|256|croconaw|250|11|./pokemon-sprites/159-croconaw.png|2024-08-17 12:03:45.522369
160|257|feraligatr|888|23|./pokemon-sprites/160-feraligatr.png|2024-08-17 12:03:45.522369
161|258|sentret|60|8|./pokemon-sprites/161-sentret.png|2024-08-17 12:03:45.522369
162|259|furret|325|18|./pokemon-sprites/162-furret.png|2024-08-17 12:03:45.522369
163|260|hoothoot|212|7|./pokemon-sprites/163-hoothoot.png|2024-08-17 12:03:45.522369
164|261|noctowl|408|16|./pokemon-sprites/164-noctowl.png|2024-08-17 12:03:45.522369
165|262|ledyba|108|10|./pokemon-sprites/165-ledyba.png|2024-08-17 12:03:45.522369
166|263|ledian|356|14|./pokemon-sprites/166-ledian.png|2024-08-17 12:03:45.522369
167|264|spinarak|85|5|./pokemon-sprites/167-spinarak.png|2024-08-17 12:03:45.522369
168|265|ariados|335|11|./pokemon-sprites/168-ariados.png|2024-08-17 12:03:45.522369
169|75|crobat|750|18|./pokemon-sprites/169-crobat.png|2024-08-17 12:03:45.522369
170|266|chinchou|120|5|./pokemon-sprites/170-chinchou.png|2024-08-17 12:03:45.522369
171|267|lanturn|225|12|./pokemon-sprites/171-lanturn.png|2024-08-17 12:03:45.522369
172|34|pichu|20|3|./pokemon-sprites/172-pichu.png|2024-08-17 12:03:45.522369
173|63|cleffa|30|3|./pokemon-sprites/173-cleffa.png|2024-08-17 12:03:45.522369
174|70|igglybuff|10|3|./pokemon-sprites/174-igglybuff.png|2024-08-17 12:03:45.522369
175|268|togepi|15|3|./pokemon-sprites/175-togepi.png|2024-08-17 12:03:45.522369
176|269|togetic|32|6|./pokemon-sprites/176-togetic.png|2024-08-17 12:03:45.522369
177|271|natu|20|2|./pokemon-sprites/177-natu.png|2024-08-17 12:03:45.522369
178|272|xatu|150|15|./pokemon-sprites/178-xatu.png|2024-08-17 12:03:45.522369
179|273|mareep|78|6|./pokemon-sprites/179-mareep.png|2024-08-17 12:03:45.522369
180|274|flaaffy|133|8|./pokemon-sprites/180-flaaffy.png|2024-08-17 12:03:45.522369
181|275|ampharos|615|14|./pokemon-sprites/181-ampharos.png|2024-08-17 12:03:45.522369
182|79|bellossom|58|4|./pokemon-sprites/182-bellossom.png|2024-08-17 12:03:45.522369
183|278|marill|85|4|./pokemon-sprites/183-marill.png|2024-08-17 12:03:45.522369
184|279|azumarill|285|8|./pokemon-sprites/184-azumarill.png|2024-08-17 12:03:45.522369
185|281|sudowoodo|380|12|./pokemon-sprites/185-sudowoodo.png|2024-08-17 12:03:45.522369
186|102|politoed|339|11|./pokemon-sprites/186-politoed.png|2024-08-17 12:03:45.522369
187|282|hoppip|5|4|./pokemon-sprites/187-hoppip.png|2024-08-17 12:03:45.522369
188|283|skiploom|10|6|./pokemon-sprites/188-skiploom.png|2024-08-17 12:03:45.522369
189|284|jumpluff|30|8|./pokemon-sprites/189-jumpluff.png|2024-08-17 12:03:45.522369
190|285|aipom|115|8|./pokemon-sprites/190-aipom.png|2024-08-17 12:03:45.522369
191|287|sunkern|18|3|./pokemon-sprites/191-sunkern.png|2024-08-17 12:03:45.522369
192|288|sunflora|85|8|./pokemon-sprites/192-sunflora.png|2024-08-17 12:03:45.522369
193|289|yanma|380|12|./pokemon-sprites/193-yanma.png|2024-08-17 12:03:45.522369
194|291|wooper|85|4|./pokemon-sprites/194-wooper.png|2024-08-17 12:03:45.522369
195|292|quagsire|750|14|./pokemon-sprites/195-quagsire.png|2024-08-17 12:03:45.522369
196|220|espeon|265|9|./pokemon-sprites/196-espeon.png|2024-08-17 12:03:45.522369
197|221|umbreon|270|10|./pokemon-sprites/197-umbreon.png|2024-08-17 12:03:45.522369
198|293|murkrow|21|5|./pokemon-sprites/198-murkrow.png|2024-08-17 12:03:45.522369
199|130|slowking|795|20|./pokemon-sprites/199-slowking.png|2024-08-17 12:03:45.522369
200|295|misdreavus|10|7|./pokemon-sprites/200-misdreavus.png|2024-08-17 12:03:45.522369
201|297|unown|50|5|./pokemon-sprites/201-unown.png|2024-08-17 12:03:45.522369
202|299|wobbuffet|285|13|./pokemon-sprites/202-wobbuffet.png|2024-08-17 12:03:45.522369
203|300|girafarig|415|15|./pokemon-sprites/203-girafarig.png|2024-08-17 12:03:45.522369
204|301|pineco|72|6|./pokemon-sprites/204-pineco.png|2024-08-17 12:03:45.522369
205|302|forretress|1258|12|./pokemon-sprites/205-forretress.png|2024-08-17 12:03:45.522369
206|303|dunsparce|140|15|./pokemon-sprites/206-dunsparce.png|2024-08-17 12:03:45.522369
207|304|gligar|648|11|./pokemon-sprites/207-gligar.png|2024-08-17 12:03:45.522369
208|152|steelix|4000|92|./pokemon-sprites/208-steelix.png|2024-08-17 12:03:45.522369
209|306|snubbull|78|6|./pokemon-sprites/209-snubbull.png|2024-08-17 12:03:45.522369
210|307|granbull|487|14|./pokemon-sprites/210-granbull.png|2024-08-17 12:03:45.522369
211|308|qwilfish|39|5|./pokemon-sprites/211-qwilfish.png|2024-08-17 12:03:45.522369
212|197|scizor|1180|18|./pokemon-sprites/212-scizor.png|2024-08-17 12:03:45.522369
213|309|shuckle|205|6|./pokemon-sprites/213-shuckle.png|2024-08-17 12:03:45.522369
214|310|heracross|540|15|./pokemon-sprites/214-heracross.png|2024-08-17 12:03:45.522369
215|312|sneasel|280|9|./pokemon-sprites/215-sneasel.png|2024-08-17 12:03:45.522369
216|314|teddiursa|88|6|./pokemon-sprites/216-teddiursa.png|2024-08-17 12:03:45.522369
217|315|ursaring|1258|18|./pokemon-sprites/217-ursaring.png|2024-08-17 12:03:45.522369
218|316|slugma|350|7|./pokemon-sprites/218-slugma.png|2024-08-17 12:03:45.522369
219|317|magcargo|550|8|./pokemon-sprites/219-magcargo.png|2024-08-17 12:03:45.522369
220|318|swinub|65|4|./pokemon-sprites/220-swinub.png|2024-08-17 12:03:45.522369
221|319|piloswine|558|11|./pokemon-sprites/221-piloswine.png|2024-08-17 12:03:45.522369
222|321|corsola|50|6|./pokemon-sprites/222-corsola.png|2024-08-17 12:03:45.522369
223|323|remoraid|120|6|./pokemon-sprites/223-remoraid.png|2024-08-17 12:03:45.522369
224|324|octillery|285|9|./pokemon-sprites/224-octillery.png|2024-08-17 12:03:45.522369
225|325|delibird|160|9|./pokemon-sprites/225-delibird.png|2024-08-17 12:03:45.522369
226|327|mantine|2200|21|./pokemon-sprites/226-mantine.png|2024-08-17 12:03:45.522369
227|328|skarmory|505|17|./pokemon-sprites/227-skarmory.png|2024-08-17 12:03:45.522369
228|329|houndour|108|6|./pokemon-sprites/228-houndour.png|2024-08-17 12:03:45.522369
229|330|houndoom|350|14|./pokemon-sprites/229-houndoom.png|2024-08-17 12:03:45.522369
230|188|kingdra|1520|18|./pokemon-sprites/230-kingdra.png|2024-08-17 12:03:45.522369
231|332|phanpy|335|5|./pokemon-sprites/231-phanpy.png|2024-08-17 12:03:45.522369
232|333|donphan|1200|11|./pokemon-sprites/232-donphan.png|2024-08-17 12:03:45.522369
233|226|porygon2|325|6|./pokemon-sprites/233-porygon2.png|2024-08-17 12:03:45.522369
234|334|stantler|712|14|./pokemon-sprites/234-stantler.png|2024-08-17 12:03:45.522369
235|335|smeargle|580|12|./pokemon-sprites/235-smeargle.png|2024-08-17 12:03:45.522369
236|167|tyrogue|210|7|./pokemon-sprites/236-tyrogue.png|2024-08-17 12:03:45.522369
237|170|hitmontop|480|14|./pokemon-sprites/237-hitmontop.png|2024-08-17 12:03:45.522369
238|199|smoochum|60|4|./pokemon-sprites/238-smoochum.png|2024-08-17 12:03:45.522369
239|201|elekid|235|6|./pokemon-sprites/239-elekid.png|2024-08-17 12:03:45.522369
240|204|magby|214|7|./pokemon-sprites/240-magby.png|2024-08-17 12:03:45.522369
241|336|miltank|755|12|./pokemon-sprites/241-miltank.png|2024-08-17 12:03:45.522369
242|181|blissey|468|15|./pokemon-sprites/242-blissey.png|2024-08-17 12:03:45.522369
243|337|raikou|1780|19|./pokemon-sprites/243-raikou.png|2024-08-17 12:03:45.522369
244|338|entei|1980|21|./pokemon-sprites/244-entei.png|2024-08-17 12:03:45.522369
245|339|suicune|1870|20|./pokemon-sprites/245-suicune.png|2024-08-17 12:03:45.522369
246|340|larvitar|720|6|./pokemon-sprites/246-larvitar.png|2024-08-17 12:03:45.522369
247|341|pupitar|1520|12|./pokemon-sprites/247-pupitar.png|2024-08-17 12:03:45.522369
248|342|tyranitar|2020|20|./pokemon-sprites/248-tyranitar.png|2024-08-17 12:03:45.522369
249|344|lugia|2160|52|./pokemon-sprites/249-lugia.png|2024-08-17 12:03:45.522369
250|345|ho-oh|1990|38|./pokemon-sprites/250-ho-oh.png|2024-08-17 12:03:45.522369
251|346|celebi|50|6|./pokemon-sprites/251-celebi.png|2024-08-17 12:03:45.522369
252|347|treecko|50|5|./pokemon-sprites/252-treecko.png|2024-08-17 12:03:45.522369
253|348|grovyle|216|9|./pokemon-sprites/253-grovyle.png|2024-08-17 12:03:45.522369
254|349|sceptile|522|17|./pokemon-sprites/254-sceptile.png|2024-08-17 12:03:45.522369
255|351|torchic|25|4|./pokemon-sprites/255-torchic.png|2024-08-17 12:03:45.522369
256|352|combusken|195|9|./pokemon-sprites/256-combusken.png|2024-08-17 12:03:45.522369
257|353|blaziken|520|19|./pokemon-sprites/257-blaziken.png|2024-08-17 12:03:45.522369
258|355|mudkip|76|4|./pokemon-sprites/258-mudkip.png|2024-08-17 12:03:45.522369
259|356|marshtomp|280|7|./pokemon-sprites/259-marshtomp.png|2024-08-17 12:03:45.522369
260|357|swampert|819|15|./pokemon-sprites/260-swampert.png|2024-08-17 12:03:45.522369
261|359|poochyena|136|5|./pokemon-sprites/261-poochyena.png|2024-08-17 12:03:45.522369
262|360|mightyena|370|10|./pokemon-sprites/262-mightyena.png|2024-08-17 12:03:45.522369
263|361|zigzagoon|175|4|./pokemon-sprites/263-zigzagoon.png|2024-08-17 12:03:45.522369
264|363|linoone|325|5|./pokemon-sprites/264-linoone.png|2024-08-17 12:03:45.522369
265|365|wurmple|36|3|./pokemon-sprites/265-wurmple.png|2024-08-17 12:03:45.522369
266|366|silcoon|100|6|./pokemon-sprites/266-silcoon.png|2024-08-17 12:03:45.522369
267|367|beautifly|284|10|./pokemon-sprites/267-beautifly.png|2024-08-17 12:03:45.522369
268|368|cascoon|115|7|./pokemon-sprites/268-cascoon.png|2024-08-17 12:03:45.522369
269|369|dustox|316|12|./pokemon-sprites/269-dustox.png|2024-08-17 12:03:45.522369
270|370|lotad|26|5|./pokemon-sprites/270-lotad.png|2024-08-17 12:03:45.522369
271|371|lombre|325|12|./pokemon-sprites/271-lombre.png|2024-08-17 12:03:45.522369
272|372|ludicolo|550|15|./pokemon-sprites/272-ludicolo.png|2024-08-17 12:03:45.522369
273|373|seedot|40|5|./pokemon-sprites/273-seedot.png|2024-08-17 12:03:45.522369
274|374|nuzleaf|280|10|./pokemon-sprites/274-nuzleaf.png|2024-08-17 12:03:45.522369
275|375|shiftry|596|13|./pokemon-sprites/275-shiftry.png|2024-08-17 12:03:45.522369
276|376|taillow|23|3|./pokemon-sprites/276-taillow.png|2024-08-17 12:03:45.522369
277|377|swellow|198|7|./pokemon-sprites/277-swellow.png|2024-08-17 12:03:45.522369
278|378|wingull|95|6|./pokemon-sprites/278-wingull.png|2024-08-17 12:03:45.522369
279|379|pelipper|280|12|./pokemon-sprites/279-pelipper.png|2024-08-17 12:03:45.522369
280|380|ralts|66|4|./pokemon-sprites/280-ralts.png|2024-08-17 12:03:45.522369
281|381|kirlia|202|8|./pokemon-sprites/281-kirlia.png|2024-08-17 12:03:45.522369
282|382|gardevoir|484|16|./pokemon-sprites/282-gardevoir.png|2024-08-17 12:03:45.522369
283|386|surskit|17|5|./pokemon-sprites/283-surskit.png|2024-08-17 12:03:45.522369
284|387|masquerain|36|8|./pokemon-sprites/284-masquerain.png|2024-08-17 12:03:45.522369
285|388|shroomish|45|4|./pokemon-sprites/285-shroomish.png|2024-08-17 12:03:45.522369
286|389|breloom|392|12|./pokemon-sprites/286-breloom.png|2024-08-17 12:03:45.522369
287|390|slakoth|240|8|./pokemon-sprites/287-slakoth.png|2024-08-17 12:03:45.522369
288|391|vigoroth|465|14|./pokemon-sprites/288-vigoroth.png|2024-08-17 12:03:45.522369
289|392|slaking|1305|20|./pokemon-sprites/289-slaking.png|2024-08-17 12:03:45.522369
290|393|nincada|55|5|./pokemon-sprites/290-nincada.png|2024-08-17 12:03:45.522369
291|394|ninjask|120|8|./pokemon-sprites/291-ninjask.png|2024-08-17 12:03:45.522369
292|395|shedinja|12|8|./pokemon-sprites/292-shedinja.png|2024-08-17 12:03:45.522369
