ability_id|ability_name|ability_description|cargar_datetime
33|swift-swim|Boosts the Pokémon's Speed stat in rain.|2024-08-04 13:58:21.646308
72|vital-spirit|The Pokémon is full of vitality, and that prevents it from falling asleep.|2024-08-04 13:58:21.646308
83|anger-point|The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.|2024-08-04 13:58:21.646308
128|defiant|If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply.|2024-08-04 13:58:21.646308
154|justified|When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice.|2024-08-04 13:58:21.646308
11|water-absorb|If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:21.646308
28|synchronize|If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition.|2024-08-04 13:58:21.646308
99|no-guard|The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land. |2024-08-04 13:58:21.646308
80|steadfast|The Pokémon's determination boosts its Speed stat every time it flinches.|2024-08-04 13:58:21.646308
82|gluttony|If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.|2024-08-04 13:58:21.646308
29|clear-body|Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.|2024-08-04 13:58:21.646308
64|liquid-ooze|The strong stench of the Pokémon's oozed liquid damages attackers that use HP-draining moves.|2024-08-04 13:58:21.646308
69|rock-head|Protects the Pokémon from recoil damage.|2024-08-04 13:58:21.646308
5|sturdy|The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.|2024-08-04 13:58:21.646308
49|flame-body|Contact with the Pokémon may burn the attacker.|2024-08-04 13:58:21.646308
12|oblivious|The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate.|2024-08-04 13:58:21.646308
20|own-tempo|The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate.|2024-08-04 13:58:21.646308
144|regenerator|The Pokémon has a little of its HP restored when withdrawn from battle.|2024-08-04 13:58:21.646308
42|magnet-pull|Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.|2024-08-04 13:58:21.646308
148|analytic|Boosts the power of the Pokémon's move if it is the last to act that turn.|2024-08-04 13:58:21.646308
48|early-bird|The Pokémon awakens from sleep twice as fast as other Pokémon.|2024-08-04 13:58:21.646308
47|thick-fat|The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.|2024-08-04 13:58:21.646308
93|hydration|Cures the Pokémon's status conditions in rain.|2024-08-04 13:58:21.646308
115|ice-body|The Pokémon gradually regains HP in snow.|2024-08-04 13:58:21.646308
60|sticky-hold|The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon.|2024-08-04 13:58:21.646308
143|poison-touch|May poison a target when the Pokémon makes contact.|2024-08-04 13:58:21.646308
75|shell-armor|A hard shell protects the Pokémon from critical hits.|2024-08-04 13:58:21.646308
92|skill-link|Maximizes the number of times multistrike moves hit.|2024-08-04 13:58:21.646308
142|overcoat|The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.|2024-08-04 13:58:21.646308
26|levitate|By floating in the air, the Pokémon receives full immunity to all Ground-type moves.|2024-08-04 13:58:21.646308
130|cursed-body|May disable a move that has dealt damage to the Pokémon.|2024-08-04 13:58:21.646308
133|weak-armor|The Pokémon's Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted.|2024-08-04 13:58:21.646308
15|insomnia|The Pokémon's insomnia prevents it from falling asleep.|2024-08-04 13:58:21.646308
108|forewarn|When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.|2024-08-04 13:58:21.646308
52|hyper-cutter|The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat.|2024-08-04 13:58:21.646308
43|soundproof|Soundproofing gives the Pokémon full immunity to all sound-based moves.|2024-08-04 13:58:21.646308
106|aftermath|Damages the attacker if it knocks out the Pokémon with a move that makes direct contact.|2024-08-04 13:58:21.646308
139|harvest|May create another Berry after one is used.|2024-08-04 13:58:21.646308
4|battle-armor|Hard armor protects the Pokémon from critical hits.|2024-08-04 13:58:21.646308
120|reckless|Powers up moves that have recoil damage.|2024-08-04 13:58:21.646308
84|unburden|Boosts the Speed stat if the Pokémon's held item is used or lost.|2024-08-04 13:58:21.646308
89|iron-fist|Powers up punching moves.|2024-08-04 13:58:21.646308
256|neutralizing-gas|While the Pokémon is in the battle, the effects of all other Pokémon's Abilities will be nullified or will not be triggered.|2024-08-04 13:58:21.646308
30|natural-cure|The Pokémon's status conditions are cured when it switches out.|2024-08-04 13:58:21.646308
32|serene-grace|Raises the likelihood of additional effects occurring when the Pokémon uses its moves.|2024-08-04 13:58:21.646308
131|healer|Sometimes cures the status conditions of the Pokémon's allies.|2024-08-04 13:58:21.646308
102|leaf-guard|Prevents status conditions in harsh sunlight.|2024-08-04 13:58:21.646308
113|scrappy|The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.|2024-08-04 13:58:21.646308
41|water-veil|The Pokémon's water veil prevents it from being burned.|2024-08-04 13:58:21.646308
35|illuminate|By illuminating its surroundings, the Pokémon prevents its accuracy from being lowered.|2024-08-04 13:58:21.646308
111|filter|Reduces the power of supereffective attacks that hit the Pokémon.|2024-08-04 13:58:21.646308
104|mold-breaker|The Pokémon's moves are unimpeded by the Ability of the target.|2024-08-04 13:58:21.646308
153|moxie|When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat.|2024-08-04 13:58:21.646308
155|rattled|The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat.|2024-08-04 13:58:21.646308
150|imposter|The Pokémon transforms itself into the Pokémon it's facing.|2024-08-04 13:58:21.646308
91|adaptability|Powers up moves of the same type as the Pokémon.|2024-08-04 13:58:21.646308
107|anticipation|The Pokémon can sense an opposing Pokémon's dangerous moves.|2024-08-04 13:58:21.646308
10|volt-absorb|If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:21.646308
95|quick-feet|Boosts the Speed stat if the Pokémon has a status condition.|2024-08-04 13:58:21.646308
36|trace|When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.|2024-08-04 13:58:21.646308
88|download|The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.|2024-08-04 13:58:21.646308
46|pressure|Puts other Pokémon under pressure, causing them to expend more PP to use their moves.|2024-08-04 13:58:21.646308
17|immunity|The Pokémon's immune system prevents it from being poisoned.|2024-08-04 13:58:21.646308
81|snow-cloak|Boosts the Pokémon's evasiveness in snow.|2024-08-04 13:58:21.646308
63|marvel-scale|The Pokémon's marvelous scales boost its Defense stat if it has a status condition.|2024-08-04 13:58:21.646308
136|multiscale|Reduces the amount of damage the Pokémon takes while its HP is full.|2024-08-04 13:58:21.646308
105|super-luck|The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.|2024-08-04 13:58:21.646308
156|magic-bounce|The Pokémon reflects status moves instead of getting hit by them.|2024-08-04 13:58:21.646308
57|plus|Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.|2024-08-04 13:58:21.646308
37|huge-power|Doubles the Pokémon's Attack stat.|2024-08-04 13:58:21.646308
157|sap-sipper|The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted.|2024-08-04 13:58:21.646308
2|drizzle|The Pokémon makes it rain when it enters a battle.|2024-08-04 13:58:21.646308
3|speed-boost|The Pokémon's Speed stat is boosted every turn.|2024-08-04 13:58:21.646308
158|prankster|Gives priority to the Pokémon's status moves.|2024-08-04 13:58:21.646308
23|shadow-tag|The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.|2024-08-04 13:58:21.646308
140|telepathy|The Pokémon anticipates and dodges the attacks of its allies.|2024-08-04 13:58:21.646308
135|light-metal|Halves the Pokémon's weight.|2024-08-04 13:58:21.646308
126|contrary|Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them—and attempts to lower its stats will boost them.|2024-08-04 13:58:21.646308
124|pickpocket|The Pokémon steals the held item from attackers that made direct contact with it.|2024-08-04 13:58:21.646308
118|honey-gather|The Pokémon may gather Honey after a battle.|2024-08-04 13:58:21.646308
40|magma-armor|The Pokémon’s hot magma coating prevents it from being frozen.|2024-08-04 13:58:21.646308
141|moody|Every turn, one of the Pokémon's stats will be boosted sharply but another stat will be lowered.|2024-08-04 13:58:21.646308
21|suction-cups|The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.|2024-08-04 13:58:21.646308
45|sand-stream|The Pokémon summons a sandstorm when it enters a battle.|2024-08-04 13:58:21.646308
274|wind-rider|Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.|2024-08-04 13:58:21.646308
90|poison-heal|If poisoned, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:21.646308
54|truant|Each time the Pokémon uses a move, it spends the next turn loafing around.|2024-08-04 13:58:21.646308
25|wonder-guard|"Its mysterious power only lets supereffective moves
hit the Pokémon."|2024-08-04 13:58:21.646308
96|normalize|"All the Pokémon’s moves become Normal type.
The power of those moves is boosted a little."|2024-08-04 13:58:21.646308
100|stall|The Pokémon is always the last to use its moves. |2024-08-04 13:58:21.646308
134|heavy-metal|Doubles the Pokémon's weight.|2024-08-04 13:58:21.646308
74|pure-power|Using its pure power, the Pokémon doubles its Attack stat.|2024-08-04 13:58:21.646308
58|minus|Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.|2024-08-04 13:58:21.646308
24|rough-skin|The Pokémon's rough skin damages attackers that make direct contact with it.|2024-08-04 13:58:21.646308
86|simple|Doubles the effects of the Pokémon's stat changes.|2024-08-04 13:58:21.646308
116|solid-rock|Reduces the power of supereffective attacks that hit the Pokémon.|2024-08-04 13:58:21.646308
73|white-smoke|The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.|2024-08-04 13:58:21.646308
137|toxic-boost|Powers up physical moves when the Pokémon is poisoned.|2024-08-04 13:58:21.646308
114|storm-drain|The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.|2024-08-04 13:58:21.646308
59|forecast|"The Pokémon transforms with the weather to change
its type to Water, Fire, or Ice."|2024-08-04 13:58:21.646308
16|color-change|"The Pokémon’s type becomes the type of the move
used on it."|2024-08-04 13:58:21.646308
168|protean|Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.|2024-08-04 13:58:21.646308
76|air-lock|Eliminates the effects of weather.|2024-08-04 13:58:21.646308
122|flower-gift|"Boosts the Attack and Sp. Def stats of itself
and allies in harsh sunlight."|2024-08-04 13:58:21.646308
138|flare-boost|Powers up special moves when the Pokémon is burned.|2024-08-04 13:58:21.646308
103|klutz|The Pokémon can't use any held items.|2024-08-04 13:58:21.646308
85|heatproof|The Pokémon's heatproof body halves the damage taken from Fire-type moves.|2024-08-04 13:58:21.646308
117|snow-warning|The Pokémon makes it snow when it enters a battle.|2024-08-04 13:58:21.646308
78|motor-drive|The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted.|2024-08-04 13:58:21.646308
292|sharpness|Powers up slicing moves.|2024-08-04 13:58:21.646308
112|slow-start|For five turns, the Pokémon's Attack and Speed stats are halved.|2024-08-04 13:58:21.646308
123|bad-dreams|Damages opposing Pokémon that are asleep.|2024-08-04 13:58:21.646308
121|multitype|Changes the Pokémon's type to match the plate it holds. |2024-08-04 13:58:21.646308
162|victory-star|Boosts the accuracy of its allies and itself.|2024-08-04 13:58:21.646308
161|zen-mode|"Changes the Pokémon’s shape when HP is half
or less."|2024-08-04 13:58:21.646308
152|mummy|"Contact with the Pokémon changes the attacker’s
Ability to Mummy."|2024-08-04 13:58:21.646308
129|defeatist|"Halves the Pokémon’s Attack and Sp. Atk stats
when its HP becomes half or less."|2024-08-04 13:58:21.646308
149|illusion|The Pokémon fools opponents by entering battle disguised as the last Pokémon in its Trainer's party.|2024-08-04 13:58:21.646308
160|iron-barbs|"Inflicts damage on the attacker upon contact with
iron barbs."|2024-08-04 13:58:21.646308
202|slush-rush|Boosts the Pokémon's Speed stat in snow.|2024-08-04 13:58:21.646308
163|turboblaze|The Pokémon's moves are unimpeded by the Ability of the target.|2024-08-04 13:58:21.646308
164|teravolt|The Pokémon's moves are unimpeded by the Ability of the target.|2024-08-04 13:58:21.646308
171|bulletproof|Protects the Pokémon from ball and bomb moves.|2024-08-04 13:58:21.646308
170|magician|The Pokémon steals the held item from any target it hits with a move.|2024-08-04 13:58:21.646308
167|cheek-pouch|The Pokémon's HP is restored when it eats any Berry, in addition to the Berry's usual effect.|2024-08-04 13:58:21.646308
177|gale-wings|Gives priority to the Pokémon's Flying-type moves while its HP is full.|2024-08-04 13:58:21.646308
166|flower-veil|Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.|2024-08-04 13:58:21.646308
180|symbiosis|The Pokémon passes its held item to an ally that has used up an item.|2024-08-04 13:58:21.646308
179|grass-pelt|Boosts the Pokémon's Defense stat on Grassy Terrain.|2024-08-04 13:58:21.646308
169|fur-coat|Halves the damage from physical moves.|2024-08-04 13:58:21.646308
176|stance-change|"The Pokémon changes its form to Blade Forme when
it uses an attack move and changes to Shield Forme
when it uses King’s Shield."|2024-08-04 13:58:21.646308
165|aroma-veil|Protects the Pokémon and its allies from effects that prevent the use of moves.|2024-08-04 13:58:21.646308
175|sweet-veil|Prevents the Pokémon and its allies from falling asleep.|2024-08-04 13:58:21.646308
181|tough-claws|Powers up moves that make direct contact.|2024-08-04 13:58:21.646308
178|mega-launcher|Powers up pulse moves.|2024-08-04 13:58:21.646308
173|strong-jaw|The Pokémon's strong jaw boosts the power of its biting moves.|2024-08-04 13:58:21.646308
174|refrigerate|"Normal-type moves become Ice-type moves.
The power of those moves is boosted a little."|2024-08-04 13:58:21.646308
182|pixilate|Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.|2024-08-04 13:58:21.646308
183|gooey|Contact with the Pokémon lowers the attacker's Speed stat.|2024-08-04 13:58:21.646308
187|fairy-aura|Powers up each Pokémon’s Fairy-type moves.|2024-08-04 13:58:21.646308
186|dark-aura|Powers up each Pokémon’s Dark-type moves.|2024-08-04 13:58:21.646308
188|aura-break|"The effects of “Aura” Abilities are reversed
to lower the power of affected moves."|2024-08-04 13:58:21.646308
203|long-reach|The Pokémon uses its moves without making contact with the target.|2024-08-04 13:58:21.646308
204|liquid-voice|Sound-based moves become Water-type moves.|2024-08-04 13:58:21.646308
198|stakeout|Doubles the damage dealt to a target that has just switched into battle.|2024-08-04 13:58:21.646308
217|battery|Powers up ally Pokémon's special moves.|2024-08-04 13:58:21.646308
216|dancer|Whenever a dance move is used in battle, the Pokémon will copy the user to immediately perform that dance move itself.|2024-08-04 13:58:21.646308
208|schooling|"When it has a lot of HP, the Pokémon forms a
powerful school. It stops schooling when its HP
is low."|2024-08-04 13:58:21.646308
196|merciless|The Pokémon's attacks become critical hits if the target is poisoned.|2024-08-04 13:58:21.646308
192|stamina|Boosts the Defense stat when the Pokémon is hit by an attack.|2024-08-04 13:58:21.646308
199|water-bubble|Lowers the power of Fire-type moves that hit the Pokémon and prevents it from being burned.|2024-08-04 13:58:21.646308
212|corrosion|The Pokémon can poison the target even if it's a Steel or Poison type.|2024-08-04 13:58:21.646308
218|fluffy|Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.|2024-08-04 13:58:21.646308
214|queenly-majesty|When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.|2024-08-04 13:58:21.646308
205|triage|Gives priority to the Pokémon's healing moves.|2024-08-04 13:58:21.646308
222|receiver|The Pokémon copies the Ability of a defeated ally.|2024-08-04 13:58:21.646308
193|wimp-out|"The Pokémon cowardly switches out when its HP
becomes half or less."|2024-08-04 13:58:21.646308
194|emergency-exit|"The Pokémon, sensing danger, switches out when its
HP becomes half or less."|2024-08-04 13:58:21.646308
195|water-compaction|Boosts the Defense stat sharply when the Pokémon is hit by a Water-type move.|2024-08-04 13:58:21.646308
215|innards-out|"Damages the attacker landing the finishing hit
by the amount equal to its last HP."|2024-08-04 13:58:21.646308
225|rks-system|"Changes the Pokémon’s type to match the
memory disc it holds."|2024-08-04 13:58:21.646308
197|shields-down|When its HP drops to half or less, the Pokémon's shell breaks and it becomes aggressive.|2024-08-04 13:58:21.646308
213|comatose|The Pokémon is always drowsing and will never wake up. It can attack while in its sleeping state.|2024-08-04 13:58:21.646308
209|disguise|Once per battle, the shroud that covers the Pokémon can protect it from an attack.|2024-08-04 13:58:21.646308
219|dazzling|The Pokémon dazzles its opponents, making them unable to use priority moves against the Pokémon or its allies.|2024-08-04 13:58:21.646308
201|berserk|Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to drop to half or less.|2024-08-04 13:58:21.646308
200|steelworker|Powers up Steel-type moves.|2024-08-04 13:58:21.646308
226|electric-surge|Turns the ground into Electric Terrain when the Pokémon enters a battle.|2024-08-04 13:58:21.646308
227|psychic-surge|Turns the ground into Psychic Terrain when the Pokémon enters a battle.|2024-08-04 13:58:21.646308
229|grassy-surge|Turns the ground into Grassy Terrain when the Pokémon enters a battle.|2024-08-04 13:58:21.646308
228|misty-surge|Turns the ground into Misty Terrain when the Pokémon enters a battle.|2024-08-04 13:58:21.646308
230|full-metal-body|"Prevents other Pokémon’s moves or Abilities from
lowering the Pokémon’s stats."|2024-08-04 13:58:21.646308
231|shadow-shield|"Reduces the amount of damage the Pokémon takes
while its HP is full."|2024-08-04 13:58:21.646308
224|beast-boost|"The Pokémon boosts its most proficient stat each
time it knocks out a Pokémon."|2024-08-04 13:58:21.646308
232|prism-armor|Reduces the power of supereffective attacks taken.|2024-08-04 13:58:21.646308
220|soul-heart|Boosts the Pokémon's Sp. Atk stat every time another Pokémon faints.|2024-08-04 13:58:21.646308
236|libero|Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.|2024-08-04 13:58:21.646308
240|mirror-armor|Bounces back only the stat-lowering effects that the Pokémon receives.|2024-08-04 13:58:21.646308
238|cotton-down|"When the Pokémon is hit by an attack, it scatters
cotton fluff around and lowers the Speed stat of
all Pokémon except itself."|2024-08-04 13:58:21.646308
237|ball-fetch|"If the Pokémon is not holding an item, it will fetch
the Poké Ball from the first failed throw
of the battle."|2024-08-04 13:58:21.646308
243|steam-engine|Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.|2024-08-04 13:58:21.646308
247|ripen|Ripens Berries and doubles their effect.|2024-08-04 13:58:21.646308
245|sand-spit|The Pokémon creates a sandstorm when it's hit by an attack.|2024-08-04 13:58:21.646308
241|gulp-missile|"When the Pokémon uses Surf or Dive, it will come back
with prey. When it takes damage, it will spit out the prey
to attack."|2024-08-04 13:58:21.646308
239|propeller-tail|Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.|2024-08-04 13:58:21.646308
244|punk-rock|Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.|2024-08-04 13:58:21.646308
252|steely-spirit|Powers up the Steel-type moves of the Pokémon and its allies.|2024-08-04 13:58:21.646308
253|perish-body|"When hit by a move that makes direct contact,
the Pokémon and the attacker will faint after three turns
unless they switch out of battle."|2024-08-04 13:58:21.646308
251|screen-cleaner|"When the Pokémon enters a battle, the effects of
Light Screen, Reflect, and Aurora Veil are nullified for
both opposing and ally Pokémon."|2024-08-04 13:58:21.646308
254|wandering-spirit|"The Pokémon exchanges Abilities with a Pokémon
that hits it with a move that makes direct contact."|2024-08-04 13:58:21.646308
246|ice-scales|The Pokémon is protected by ice scales, which halve the damage taken from special moves.|2024-08-04 13:58:21.646308
249|power-spot|Just being next to the Pokémon powers up moves.|2024-08-04 13:58:21.646308
248|ice-face|The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it snows.|2024-08-04 13:58:21.646308
258|hunger-switch|The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.|2024-08-04 13:58:21.646308
242|stalwart|Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.|2024-08-04 13:58:21.646308
234|intrepid-sword|Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.|2024-08-04 13:58:21.646308
235|dauntless-shield|Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.|2024-08-04 13:58:21.646308
260|unseen-fist|If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.|2024-08-04 13:58:21.646308
262|transistor|Powers up Electric-type moves.|2024-08-04 13:58:21.646308
263|dragons-maw|Powers up Dragon-type moves.|2024-08-04 13:58:21.646308
264|chilling-neigh|When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.|2024-08-04 13:58:21.646308
265|grim-neigh|When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.|2024-08-04 13:58:21.646308
268|lingering-aroma|Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.|2024-08-04 13:58:21.646308
273|well-baked-body|The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.|2024-08-04 13:58:21.646308
269|seed-sower|Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.|2024-08-04 13:58:21.646308
272|purifying-salt|The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.|2024-08-04 13:58:21.646308
280|electromorphosis|The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.|2024-08-04 13:58:21.646308
277|wind-power|The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.|2024-08-04 13:58:21.646308
275|guard-dog|Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.|2024-08-04 13:58:21.646308
298|mycelium-might|The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.|2024-08-04 13:58:21.646308
271|anger-shell|When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.|2024-08-04 13:58:21.646308
290|opportunist|If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.|2024-08-04 13:58:21.646308
276|rocky-payload|Powers up Rock-type moves.|2024-08-04 13:58:21.646308
278|zero-to-hero|The Pokémon transforms into its Hero Form when it switches out.|2024-08-04 13:58:21.646308
297|earth-eater|If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:21.646308
